Player,Age,Club,PrimaryPosition,SecondaryPosition,ThirdPosition,Height_cm,Nationality
Arda Güler,21,Real Madrid,CAM,RW,-,176,Turkey
Nicolás Paz,21,Como,CAM,RW,CM,185,Argentina
Kenan Yıldız,21,Juventus,LW,ST,RW,187,Turkey
Matias Fernandez-Pardo,20,Lille,CF,LW,RW,188,Belgium
Yankuba Minteh,22,Brighton & Hove Albion,RW,LW,RM,180,The Gambia
Can Uzun,20,Eintracht Frankfurt,CAM,CM,LW,186,Turkey
Mert Kömür,20,FC Augsburg,CAM,CM,CF,184,Germany
Valentín Barco,22,Chelsea,CM,LB,LM,172,Argentina
Bazoumana Touré,20,Newcastle United,LW,LM,RW,178,Ivory Coast
Arthur Avom Ebong,21,FC Lorient,CM,CAM,CDM,173,Cameroon
Mikel Jauregizar,22,Athletic Bilbao,CM,CDM,-,177,Spain
Hugo Sotelo,22,Celta Vigo,CM,CDM,-,180,Spain
Kévin Danois,22,AJ Auxerre,CAM,LW,-,178,France
El Hadji Malick Diouf,21,Slavia Prague,LB,LM,-,182,Senegal
Dean Huijsen,21,Real Madrid,CB,-,-,197,Spain
Giovane,22,Corinthians,ST,RW,-,184,Brazil
Kojo Peprah Oppong,22,IFK Norrköping,CB,RB,-,183,Sweden
Diego Moreira,21,RC Strasbourg,LW,RW,-,179,Portugal
Arsène Kouassi,20,FC Lorient,LB,CB,-,180,Ivory Coast
Adam Wharton,22,Crystal Palace,CDM,CM,-,182,England
Alessandro Circati,22,Parma,CB,-,-,190,Australia
Antoine Mendy,22,OGC Nice,RB,CB,-,186,France
Abdulai Juma Bah,20,Real Valladolid,CB,-,-,195,Sierra Leone
Abdoul Coulibaly,19,RC Strasbourg,CB,-,-,185,Ivory Coast
Abdoul Ouattara,20,RC Strasbourg,RW,LW,-,178,Ivory Coast
Abdoulaye Faye,21,BK Häcken,CB,CDM,-,188,Senegal
Adrián Liso,21,Real Zaragoza,LW,RW,-,181,Spain
Arijon Ibrahimović,20,Bayern Munich,CAM,LW,-,176,Germany
Ayyoub Bouaddi,18,Lille,CM,CDM,-,185,France
Brooke Norton-Cuffy,22,Genoa,RB,RWB,-,180,England
Chemsdine Talbi,21,Club Brugge,RW,LW,-,175,Belgium
Christian Mawissa,21,AS Monaco,CB,LB,-,182,France
Davinchi,18,Getafe,LB,LM,-,175,Spain
Dayann Methalie,20,Toulouse,CB,RB,-,184,France
Dermane Karim,22,Lommel SK,CDM,CM,-,176,Togo
Ebenezer Akinsanmiro,21,Sampdoria,CM,CAM,-,178,Nigeria
Etta Eyong,22,Levante UD,CF,RW,-,184,Cameroon
Franco Mastantuono,18,Real Madrid,CAM,RW,-,177,Argentina
Ilyas Ansah,21,SC Paderborn,ST,LW,-,193,Germany
Jacobo Ramón,21,Real Madrid,CB,-,-,190,Spain
Jesus Rodríguez,20,Real Betis,LW,RW,-,176,Spain
Joel Roca,21,Mirandés,LW,RW,-,172,Spain
Joshua King,19,Fulham,CM,CAM,-,178,England
Jérémy Jacquet,21,Stade Rennais,CB,-,-,188,France
Konstantinos Koulierakis,22,VfL Wolfsburg,CB,-,-,188,Greece
Leon Avdullahu,22,FC Basel,CDM,CM,-,183,Switzerland
Leopold Querfeld,22,Union Berlin,CB,-,-,190,Austria
Leny Yoro,20,Manchester United,CB,-,-,190,France
Louis Leroux,20,FC Nantes,CM,CAM,-,176,France
Luka Vušković,19,KVC Westerlo,CB,-,-,193,Croatia
Lukas Ullrich,22,Borussia Mönchengladbach,LB,LM,-,180,Germany
Lucas Beraldo,22,Paris Saint-Germain,CB,LB,-,186,Brazil
Lucas Bergvall,20,Tottenham Hotspur,CM,CAM,-,186,Sweden
Lucas Høgsberg,20,FC Nordsjælland,CB,CDM,-,187,Denmark
Malick Fofana,21,Olympique Lyon,LW,RW,-,169,Belgium
Mamadou Sarr,20,RC Strasbourg,CB,-,-,194,France
Marco Palestra,21,Atalanta,RWB,RB,-,183,Italy
Mario Martín,22,Real Valladolid,CDM,CM,-,177,Spain
Mateus Fernandes,22,Southampton,CM,CAM,-,178,Portugal
Mateo Joseph,22,Leeds United,ST,-,-,180,Spain
Matteo Prati,22,Cagliari,CDM,CM,-,182,Italy
Michael Kayode,22,Fiorentina,RB,RWB,-,179,Italy
Milos Kerkez,22,Liverpool,LB,LWB,-,179,Hungary
Nico O’Reilly,21,Manchester City,CAM,CM,-,190,England
Nnamdi Collins,22,Eintracht Frankfurt,CB,RB,-,191,Germany
Noah Sadiki,21,Union SG,CDM,CM,-,175,DR Congo
Patrick Dorgu,21,Lecce,LB,LM,-,183,Denmark
Pau Cubarsí,19,FC Barcelona,CB,-,-,184,Spain
Prosper Peter,19,CD Mafra,CB,ST,-,188,Nigeria
Rayan Fofana,20,RC Lens,ST,RW,-,185,France
Samson Baidoo,22,Red Bull Salzburg,CB,-,-,190,Austria
Samuel Mbangula,22,Juventus,LW,RW,-,172,Belgium
Sidiki Cherif,19,Angers SCO,ST,LW,-,185,France
Tiago Gabriel,21,Estrela Amadora,CB,-,-,188,Portugal
Tylel Tati,19,FC Nantes,CB,LB,-,182,France
Vitor Reis,20,Palmeiras,CB,RB,-,186,Brazil
Warren Zaïre-Emery,20,Paris Saint-Germain,CM,CDM,-,178,France
Yaser Asprilla,22,Girona,RW,CAM,-,175,Colombia
Yehor Yarmoliuk,22,Brentford,CM,CAM,-,175,Ukraine
Álvaro Rodríguez,22,Getafe,ST,-,-,193,Uruguay
Álex Valle,21,Como,LB,LWB,-,178,Spain
