Rk,Player,Nation,Pos,Squad,Comp,Age_x,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Age_y,Club,PrimaryPosition,SecondaryPosition,ThirdPosition,Height_cm,Nationality
50,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,20.0,2004.0,5,4,389.0,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3,18,7,0.0,0.07,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,0,4,2,50.0,0.93,0.46,0.0,0.0,29.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,110,123,89.4,1829,549,0,0.2,0.2,-0.2,5,17,3,1,18,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,123,115,7,2,1,2,2,0,0,0,0,0,110,1,1,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,10,2.31,7,0,2,1,0,0,0,0.0,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,11,8,5,5,1,4,25.0,3,3,1,2,3,14,3,0,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,164,5,31,97,40,2,164,13,6,46.2,7,53.8,92,507,262,3,5,1,6,4,91,7,59,ng NGA,MF,it Serie A,20-315,2004.0,5,389.0,78,72.0,4.3,4,90.0,4,1,29.0,1,0.4,2,8,-6,-1.39,-0.79,3.8,7.1,-3.4,-0.78,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,0,0,0,7,6,0,2,3,8,0,0,0,33,3,4,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Sampdoria,CM,CAM,-,178,Nigeria
119,Yaser Asprilla,co COL,FW,Girona,es La Liga,21.0,2003.0,8,5,402.0,4.5,0,0,0,0,0,0,0,0,0.5,0.5,1.1,1.6,13,17,39,0.0,0.36,119,co COL,FW,es La Liga,21-321,2003.0,4.5,0,12,4,33.3,2.69,0.9,0.0,0.0,22.8,1,0,0,0.5,0.5,0.04,-0.5,-0.5,119,co COL,FW,es La Liga,21-321,2003.0,4.5,87,121,71.9,1777,504,0,1.1,1.1,-1.1,4,6,9,1,17,119,co COL,FW,es La Liga,21-321,2003.0,4.5,121,105,16,5,0,2,27,0,10,3,5,0,87,0,3,119,co COL,FW,es La Liga,21-321,2003.0,4.5,12,2.69,8,2,1,1,0,0,0,0.0,119,co COL,FW,es La Liga,21-321,2003.0,4.5,6,2,1,4,1,2,100.0,0,5,1,4,4,10,4,0,119,co COL,FW,es La Liga,21-321,2003.0,4.5,174,4,19,65,94,16,174,13,7,53.8,5,38.5,108,652,289,13,6,5,12,4,109,39,146,co COL,FW,es La Liga,21-321,2003.0,8,402.0,50,55.8,4.5,5,70.0,2,3,17.0,0,0.75,3,8,-5,-1.12,0.86,4.1,8.8,-4.7,-1.05,119,co COL,FW,es La Liga,21-321,2003.0,4.5,0,0,0,6,2,3,27,4,2,0,0,0,12,2,4,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Girona,RW,CAM,-,175,Colombia
132,Arthur Avom Ebong,cm CMR,MF,Lorient,fr Ligue 1,20.0,2004.0,7,6,552.0,6.1,0,1,1,0,0,0,2,0,0.3,0.3,0.9,1.2,15,37,17,0.16,0.2,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,0,5,1,20.0,0.82,0.16,0.0,0.0,21.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,240,292,82.2,4274,1297,1,0.9,1.3,0.1,9,27,9,1,37,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,292,267,22,13,4,0,15,2,5,3,1,0,240,3,9,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,18,2.93,14,1,0,1,2,0,1,0.16,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,11,8,4,7,0,10,70.0,3,7,1,6,12,23,4,0,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,348,13,81,182,89,13,348,13,10,76.9,3,23.1,220,1027,446,15,7,3,13,5,229,17,159,cm CMR,MF,fr Ligue 1,20-295,2004.0,7,552.0,79,87.6,6.1,6,87.0,4,1,29.0,0,1.0,9,9,0,0.0,8.08,9.1,7.4,1.7,0.28,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,2,0,0,5,12,0,15,12,8,0,0,0,36,3,5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,FC Lorient,CM,CAM,CDM,173,Cameroon
226,Lucas Bergvall,se SWE,MF,Tottenham,eng Premier League,19.0,2006.0,6,4,365.0,4.1,1,1,2,1,0,0,1,0,0.6,0.6,0.3,0.8,9,17,23,0.49,0.2,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,1,5,3,60.0,1.23,0.74,0.2,0.33,12.4,0,0,0,0.6,0.6,0.11,0.4,0.4,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,101,143,70.6,1736,489,1,0.3,0.2,0.7,2,13,4,1,17,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,143,116,26,0,0,2,9,20,0,0,0,0,101,1,1,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,9,2.22,4,3,1,1,0,0,1,0.25,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,9,6,1,8,0,6,50.0,3,1,0,1,1,10,8,1,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,182,7,26,78,80,14,182,11,7,63.6,3,27.3,99,767,397,9,8,2,7,4,103,23,276,se SWE,MF,eng Premier League,19-246,2006.0,6,365.0,61,57.9,4.1,4,81.0,0,2,21.0,1,1.83,8,3,5,1.23,0.21,5.3,4.3,1.0,0.24,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,1,0,0,8,3,0,9,1,6,0,0,0,16,2,8,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Tottenham Hotspur,CM,CAM,-,186,Sweden
481,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,21.0,2004.0,7,7,613.0,6.8,0,0,0,0,0,0,1,0,0.7,0.7,0.7,1.4,11,39,16,0.0,0.2,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,0,6,2,33.3,0.88,0.29,0.0,0.0,22.7,0,0,0,0.7,0.7,0.11,-0.7,-0.7,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,271,324,83.6,4717,1296,0,0.7,0.8,-0.7,12,40,3,0,39,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,324,306,16,6,3,3,12,0,9,4,3,0,271,2,4,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,22,3.23,18,3,0,1,0,0,0,0.0,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,21,11,7,11,3,23,17.4,19,6,1,5,6,27,2,0,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,394,3,77,213,111,5,394,13,7,53.8,4,30.8,225,1273,571,11,9,1,16,9,255,16,590,fr FRA,MF,fr Ligue 1,21-100,2004.0,7,613.0,88,97.3,6.8,7,88.0,5,0,,0,0.86,5,10,-5,-0.73,-0.73,6.7,8.8,-2.1,-0.31,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,1,0,0,9,2,0,12,6,11,0,0,0,47,1,7,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,AJ Auxerre,CAM,LW,-,178,France
666,Mateus Fernandes,pt POR,"MF,FW",West Ham,eng Premier League,21.0,2004.0,5,5,398.0,4.4,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,6,12,6,0.0,0.15,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,0,2,0,0.0,0.45,0.0,0.0,,25.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,151,167,90.4,2506,511,0,0.5,0.3,-0.5,4,11,2,0,12,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,167,159,8,3,1,1,3,1,1,0,1,0,151,0,1,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,6,1.36,6,0,0,0,0,0,0,0.0,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,14,8,8,6,0,13,46.2,7,6,1,5,2,16,3,0,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,209,10,42,131,37,4,209,4,1,25.0,2,50.0,110,563,237,6,4,1,6,5,139,6,808,pt POR,"MF,FW",eng Premier League,21-088,2004.0,5,398.0,80,63.2,4.4,5,80.0,2,0,,0,0.8,2,7,-5,-1.13,0.81,3.3,6.8,-3.5,-0.79,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,0,0,0,8,3,0,3,2,8,0,0,0,15,1,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Southampton,CM,CAM,-,178,Portugal
835,Arda Güler,tr TUR,"MF,FW",Real Madrid,es La Liga,20.0,2005.0,8,7,561.0,6.2,3,3,6,3,0,0,1,0,2.3,2.3,2.6,4.9,12,47,32,0.96,0.78,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,3,14,6,42.9,2.25,0.96,0.21,0.5,16.6,1,0,0,2.3,2.3,0.16,0.7,0.7,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,344,391,88.0,5551,1329,3,2.6,2.0,0.4,22,36,12,1,47,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,391,361,29,13,5,3,21,0,16,4,6,0,344,1,6,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,36,5.78,26,7,1,1,0,1,5,0.8,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,13,9,1,9,3,6,50.0,3,2,0,2,2,15,3,1,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,459,6,33,202,229,22,459,11,5,45.5,4,36.4,289,1322,628,12,14,3,11,2,350,32,1013,tr TUR,"MF,FW",es La Liga,20-223,2005.0,8,561.0,70,77.9,6.2,7,76.0,1,1,30.0,0,2.63,13,6,7,1.12,-0.58,13.8,7.3,6.4,1.03,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,1,0,0,10,7,0,21,2,9,0,1,0,29,3,5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Real Madrid,CAM,RW,-,176,Turkey
920,Arijon Ibrahimović,de GER,"MF,FW",Heidenheim,de Bundesliga,19.0,2005.0,6,6,460.0,5.1,0,0,0,0,0,0,1,0,1.3,1.3,0.3,1.6,6,15,18,0.0,0.31,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,0,6,3,50.0,1.17,0.59,0.0,0.0,17.3,0,0,0,1.3,1.3,0.22,-1.3,-1.3,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,123,183,67.2,2333,628,0,0.3,0.4,-0.3,7,9,5,0,15,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,183,151,31,8,1,2,12,6,10,5,3,0,123,1,1,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,16,3.13,8,5,1,1,1,0,0,0.0,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,6,1,3,3,0,11,45.5,6,7,0,7,4,10,7,0,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,243,5,49,109,89,11,243,10,2,20.0,7,70.0,109,684,248,6,6,2,13,4,138,18,1110,de GER,"MF,FW",de Bundesliga,19-299,2005.0,6,460.0,77,85.2,5.1,6,77.0,0,0,,0,0.5,3,8,-5,-0.98,1.27,5.1,8.5,-3.4,-0.67,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,1,0,0,2,2,1,12,4,1,0,0,0,22,8,6,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Bayern Munich,CAM,LW,-,176,Germany
1050,Joshua King,eng ENG,"MF,FW",Fulham,eng Premier League,18.0,2007.0,7,7,467.0,5.2,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.9,13,16,29,0.0,0.17,1050,eng ENG,"MF,FW",eng Premier League,18-276,2007.0,5.2,0,10,5,50.0,1.93,0.96,0.0,0.0,18.0,0,0,0,0.7,0.7,0.07,-0.7,-0.7,1050,eng ENG,"MF,FW",eng Premier League,18-276,2007.0,5.2,92,116,79.3,1324,242,0,0.1,0.3,-0.1,3,6,3,0,16,1050,eng ENG,"MF,FW",eng Premier League,18-276,2007.0,5.2,116,116,0,0,0,0,2,0,0,0,0,0,92,0,7,1050,eng ENG,"MF,FW",eng Premier League,18-276,2007.0,5.2,10,1.93,7,0,2,1,0,0,1,0.19,1050,eng ENG,"MF,FW",eng Premier League,18-276,2007.0,5.2,7,3,2,3,2,3,66.7,1,9,2,7,1,8,3,1,1050,eng ENG,"MF,FW",eng Premier League,18-276,2007.0,5.2,170,3,23,82,70,22,170,13,7,53.8,5,38.5,117,869,385,13,13,4,15,9,127,29,1263,eng ENG,"MF,FW",eng Premier League,18-276,2007.0,7,467.0,67,74.1,5.2,7,67.0,0,0,,0,1.14,4,8,-4,-0.77,-1.32,4.0,7.3,-3.3,-0.64,1050,eng ENG,"MF,FW",eng Premier League,18-276,2007.0,5.2,2,0,0,4,9,0,2,1,3,0,0,0,19,2,5,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Fulham,CM,CAM,-,178,England
1066,Mert Kömür,de GER,"FW,MF",Augsburg,de Bundesliga,20.0,2005.0,6,5,482.0,5.4,2,2,4,2,0,0,1,0,1.3,1.3,1.1,2.4,17,14,28,0.75,0.44,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,2,13,4,30.8,2.43,0.75,0.15,0.5,16.5,0,0,0,1.3,1.3,0.1,0.7,0.7,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,131,180,72.8,1894,400,2,1.1,1.0,0.9,8,8,5,2,14,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,180,148,32,8,1,0,26,1,16,8,5,0,131,0,4,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,18,3.36,13,3,0,2,0,0,3,0.56,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,3,2,0,3,0,4,50.0,2,7,0,7,3,6,15,0,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,257,10,31,104,130,16,257,14,4,28.6,7,50.0,145,973,477,17,13,3,15,9,163,28,1287,de GER,"FW,MF",de Bundesliga,20-081,2005.0,6,482.0,80,89.3,5.4,5,90.0,5,1,32.0,0,1.0,11,11,0,0.0,3.1,6.1,12.4,-6.3,-1.18,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,1,0,0,12,6,1,26,3,2,0,0,0,19,9,17,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,FC Augsburg,CAM,CM,CF,184,Germany
