Rk,Player,Nation,Pos,Squad,Comp,Age_x,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Age_y,Club,PrimaryPosition,SecondaryPosition,ThirdPosition,Height_cm,Nationality
166,Valentín Barco,ar ARG,"MF,DF",Chelsea,eng Premier League,21.0,2004.0,7,6,565.0,6.3,0,1,1,0,0,0,2,0,0.8,0.8,1.8,2.6,9,45,23,0.16,0.42,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,0,5,2,40.0,0.8,0.32,0.0,0.0,17.5,1,0,0,0.8,0.8,0.16,-0.8,-0.8,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,334,404,82.7,5411,1744,1,1.8,1.7,-0.8,8,25,15,1,45,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,404,354,48,29,4,0,20,13,6,1,4,0,334,2,6,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,21,3.34,13,4,0,1,2,1,4,0.64,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,18,11,9,7,2,13,84.6,2,3,0,3,4,22,7,0,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,468,15,121,237,118,8,468,20,8,40.0,10,50.0,282,1064,635,9,12,2,7,5,327,23,202,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,7,565.0,81,89.7,6.3,6,86.0,4,1,50.0,0,2.14,14,6,8,1.27,2.66,12.8,6.6,6.3,1.0,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,2,0,0,5,19,0,20,4,11,0,0,0,40,4,7,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Chelsea,CM,LB,LM,172,Argentina
221,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,21.0,2003.0,5,5,429.0,4.8,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,1,17,1,0.21,0.07,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,1,2,1,50.0,0.42,0.21,0.5,1.0,10.0,0,0,0,0.3,0.3,0.17,0.7,0.7,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,424,440,96.4,7017,3020,0,0.0,0.1,0.0,0,22,0,0,17,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,440,429,11,3,0,2,0,0,0,0,0,0,424,0,0,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,3,0.63,3,0,0,0,0,0,1,0.21,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,10,6,8,2,0,9,66.7,3,5,3,2,4,14,28,0,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,498,75,232,256,11,6,498,0,0,,0,,296,970,543,1,0,0,3,0,383,1,270,br BRA,DF,fr Ligue 1,21-316,2003.0,5,429.0,86,68.1,4.8,5,86.0,4,0,,2,2.6,12,4,8,1.68,1.68,7.7,4.6,3.1,0.66,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,0,0,0,4,1,0,0,4,6,0,0,0,28,14,9,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Paris Saint-Germain,CB,LB,-,186,Brazil
490,Davinchi,es ESP,DF,Getafe,es La Liga,17.0,2007.0,7,4,429.0,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,11,12,0.0,0.05,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,0,3,1,33.3,0.63,0.21,0.0,0.0,17.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,140,214,65.4,2186,1062,0,0.0,0.5,0.0,2,9,2,0,11,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,214,159,54,0,0,0,12,54,0,0,0,0,140,1,8,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,12,2.52,7,2,1,1,0,1,0,0.0,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,14,9,9,3,2,12,83.3,2,6,1,5,3,17,23,1,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,287,9,91,120,78,6,287,13,8,61.5,5,38.5,79,363,155,3,3,1,10,3,112,12,602,es ESP,DF,es La Liga,17-355,2007.0,7,429.0,61,59.6,4.8,4,82.0,3,3,34.0,1,1.57,5,5,0,0.0,0.62,3.4,3.5,-0.1,-0.02,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,1,0,0,14,1,0,12,3,9,0,0,0,20,6,6,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Getafe,LB,LM,-,175,Spain
555,El Hadji Malick Diouf,sn SEN,DF,West Ham,eng Premier League,20.0,2004.0,7,7,630.0,7.0,0,3,3,0,0,0,1,0,0.2,0.2,0.7,0.9,11,21,31,0.43,0.13,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,0,5,1,20.0,0.71,0.14,0.0,0.0,23.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,223,306,72.9,3553,1394,3,0.7,0.7,2.3,7,16,8,3,21,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,306,245,60,2,3,1,28,51,7,6,1,0,223,1,9,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,11,1.57,8,2,1,0,0,0,3,0.43,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,6,2,3,3,0,5,60.0,2,4,3,1,4,10,35,1,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,388,28,131,142,115,7,388,12,4,33.3,8,66.7,171,851,453,11,13,1,9,5,215,31,674,sn SEN,DF,eng Premier League,20-282,2004.0,7,630.0,90,100.0,7.0,7,90.0,7,0,,0,0.57,6,16,-10,-1.43,,6.6,11.1,-4.5,-0.64,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,1,0,0,10,4,0,28,4,2,0,1,0,25,12,10,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Slavia Prague,LB,LM,-,182,Senegal
576,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,20.0,2004.0,6,5,471.0,5.2,0,1,1,0,0,0,2,0,0.2,0.2,0.8,1.1,17,7,41,0.19,0.21,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,0,4,0,0.0,0.76,0.0,0.0,,21.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,147,204,72.1,2121,459,1,0.8,0.6,0.2,6,5,6,3,7,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,204,171,33,0,0,1,17,33,0,0,0,0,147,0,7,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,13,2.48,12,0,1,0,0,0,1,0.19,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,15,12,8,4,3,14,78.6,3,5,1,4,7,22,9,0,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,281,7,62,107,114,23,281,16,3,18.8,11,68.8,152,782,415,17,8,4,14,7,178,41,698,dk DEN,DF,eng Premier League,20-345,2004.0,6,471.0,79,74.8,5.2,5,89.0,4,1,27.0,1,1.17,4,8,-4,-0.76,-1.9,8.5,8.2,0.3,0.05,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,2,0,0,8,18,3,17,7,12,0,0,0,16,14,14,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Lecce,LB,LM,-,183,Denmark
1039,Milos Kerkez,hu HUN,DF,Liverpool,eng Premier League,21.0,2003.0,7,7,510.0,5.7,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,8,25,23,0.0,0.05,1039,hu HUN,DF,eng Premier League,21-333,2003.0,5.7,0,2,0,0.0,0.35,0.0,0.0,,9.8,0,0,0,0.2,0.2,0.1,-0.2,-0.2,1039,hu HUN,DF,eng Premier League,21-333,2003.0,5.7,248,300,82.7,3966,1180,0,0.1,0.1,-0.1,3,22,5,1,25,1039,hu HUN,DF,eng Premier League,21-333,2003.0,5.7,300,242,58,9,1,0,16,49,0,0,0,0,248,0,5,1039,hu HUN,DF,eng Premier League,21-333,2003.0,5.7,6,1.06,5,1,0,0,0,0,1,0.18,1039,hu HUN,DF,eng Premier League,21-333,2003.0,5.7,10,6,7,2,1,7,57.1,3,5,2,3,3,13,30,1,1039,hu HUN,DF,eng Premier League,21-333,2003.0,5.7,370,24,139,145,90,10,370,3,2,66.7,1,33.3,170,748,355,8,8,0,6,1,211,23,1250,hu HUN,DF,eng Premier League,21-333,2003.0,7,510.0,73,81.0,5.7,7,73.0,4,0,,0,2.14,9,6,3,0.53,-0.22,7.6,6.2,1.4,0.25,1039,hu HUN,DF,eng Premier League,21-333,2003.0,5.7,2,0,0,5,5,0,16,3,6,0,0,0,23,12,10,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Liverpool,LB,LWB,-,179,Hungary
1078,Arsène Kouassi,bf BFA,"DF,MF",Lorient,fr Ligue 1,21.0,2004.0,7,6,560.0,6.2,0,1,1,0,0,0,2,0,0.0,0.0,0.7,0.8,25,24,38,0.16,0.12,1078,bf BFA,"DF,MF",fr Ligue 1,21-025,2004.0,6.2,0,1,0,0.0,0.16,0.0,0.0,,21.9,1,0,0,0.0,0.0,0.05,0.0,0.0,1078,bf BFA,"DF,MF",fr Ligue 1,21-025,2004.0,6.2,210,265,79.2,3571,1190,1,0.7,0.8,0.3,7,14,5,3,24,1078,bf BFA,"DF,MF",fr Ligue 1,21-025,2004.0,6.2,265,214,50,7,0,0,34,34,9,3,5,0,210,1,6,1078,bf BFA,"DF,MF",fr Ligue 1,21-025,2004.0,6.2,15,2.41,8,5,0,1,1,0,2,0.32,1078,bf BFA,"DF,MF",fr Ligue 1,21-025,2004.0,6.2,6,5,5,1,0,2,100.0,0,2,0,2,4,10,13,0,1078,bf BFA,"DF,MF",fr Ligue 1,21-025,2004.0,6.2,314,8,91,122,109,10,314,25,13,52.0,8,32.0,193,1336,837,25,11,4,2,3,188,38,1303,bf BFA,"DF,MF",fr Ligue 1,21-025,2004.0,7,560.0,80,88.9,6.2,6,81.0,2,1,77.0,0,1.0,9,12,-3,-0.48,4.66,7.7,9.1,-1.4,-0.22,1078,bf BFA,"DF,MF",fr Ligue 1,21-025,2004.0,6.2,2,0,0,4,10,2,34,4,5,0,0,0,28,1,5,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,FC Lorient,LB,CB,-,180,Ivory Coast
1296,Christian Mawissa,fr FRA,DF,Monaco,fr Ligue 1,20.0,2005.0,4,4,360.0,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,15,2,0.0,0.0,1296,fr FRA,DF,fr Ligue 1,20-171,2005.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1296,fr FRA,DF,fr Ligue 1,20-171,2005.0,4.0,317,335,94.6,5368,1273,0,0.0,0.1,0.0,0,21,0,0,15,1296,fr FRA,DF,fr Ligue 1,20-171,2005.0,4.0,335,313,22,8,0,1,1,2,0,0,0,0,317,0,3,1296,fr FRA,DF,fr Ligue 1,20-171,2005.0,4.0,2,0.5,1,0,0,0,1,0,0,0.0,1296,fr FRA,DF,fr Ligue 1,20-171,2005.0,4.0,4,3,1,3,0,7,42.9,4,4,4,0,6,10,23,0,1296,fr FRA,DF,fr Ligue 1,20-171,2005.0,4.0,378,46,137,233,10,2,378,5,4,80.0,1,20.0,227,1174,688,3,4,0,2,2,280,2,1576,fr FRA,DF,fr Ligue 1,20-171,2005.0,4,360.0,90,57.1,4.0,4,90.0,4,0,,1,1.5,7,7,0,0.0,-1.33,5.9,7.0,-1.1,-0.26,1296,fr FRA,DF,fr Ligue 1,20-171,2005.0,4.0,1,0,0,2,5,0,1,6,3,0,1,0,22,6,5,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,AS Monaco,CB,LB,-,182,France
1955,Tylel Tati,fr FRA,DF,Nantes,fr Ligue 1,17.0,2008.0,6,6,515.0,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,6,0,0.0,0.01,1955,fr FRA,DF,fr Ligue 1,17-260,2008.0,5.7,0,1,0,0.0,0.17,0.0,0.0,,36.3,0,0,0,0.0,0.0,0.02,0.0,0.0,1955,fr FRA,DF,fr Ligue 1,17-260,2008.0,5.7,275,311,88.4,5409,1132,0,0.0,0.1,0.0,1,3,1,0,6,1955,fr FRA,DF,fr Ligue 1,17-260,2008.0,5.7,311,297,14,12,0,0,0,0,0,0,0,0,275,0,2,1955,fr FRA,DF,fr Ligue 1,17-260,2008.0,5.7,5,0.87,4,0,0,0,0,1,0,0.0,1955,fr FRA,DF,fr Ligue 1,17-260,2008.0,5.7,5,2,4,1,0,3,100.0,0,4,3,1,6,11,24,1,1955,fr FRA,DF,fr Ligue 1,17-260,2008.0,5.7,363,69,238,122,5,1,363,6,4,66.7,2,33.3,256,1090,578,3,1,0,3,0,277,0,2417,fr FRA,DF,fr Ligue 1,17-260,2008.0,6,515.0,86,81.7,5.7,6,86.0,5,0,,0,0.83,4,7,-3,-0.52,-1.31,4.1,9.0,-4.9,-0.85,1955,fr FRA,DF,fr Ligue 1,17-260,2008.0,5.7,1,0,0,9,2,0,0,6,2,0,1,0,9,1,5,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,FC Nantes,CB,LB,-,182,France
2032,Lukas Ullrich,de GER,DF,Gladbach,de Bundesliga,21.0,2004.0,6,5,396.0,4.4,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,5,12,24,0.0,0.08,2032,de GER,DF,de Bundesliga,21-204,2004.0,4.4,0,1,0,0.0,0.23,0.0,0.0,,13.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2032,de GER,DF,de Bundesliga,21-204,2004.0,4.4,145,188,77.1,2324,815,0,0.3,0.5,-0.3,6,11,9,2,12,2032,de GER,DF,de Bundesliga,21-204,2004.0,4.4,188,171,17,3,0,0,8,14,0,0,0,0,145,0,3,2032,de GER,DF,de Bundesliga,21-204,2004.0,4.4,10,2.27,9,0,0,0,0,1,0,0.0,2032,de GER,DF,de Bundesliga,21-204,2004.0,4.4,12,6,3,8,1,7,42.9,4,5,1,4,7,19,11,0,2032,de GER,DF,de Bundesliga,21-204,2004.0,4.4,234,12,66,116,55,5,234,5,3,60.0,2,40.0,123,524,230,5,8,0,9,5,143,24,2504,de GER,DF,de Bundesliga,21-204,2004.0,6,396.0,66,73.3,4.4,5,78.0,1,1,6.0,0,0.5,3,10,-7,-1.59,-1.59,5.1,5.9,-0.8,-0.17,2032,de GER,DF,de Bundesliga,21-204,2004.0,4.4,1,0,0,3,1,0,8,7,6,0,0,0,16,3,3,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Borussia Mönchengladbach,LB,LM,-,180,Germany
