Rk,Player,Nation,Pos,Squad,Comp,Age_x,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Age_y,Club,PrimaryPosition,SecondaryPosition,ThirdPosition,Height_cm,Nationality
94,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,20.0,2004.0,6,5,402.0,4.5,4,0,4,4,0,0,0,0,0.9,0.9,0.3,1.3,11,10,21,0.9,0.29,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,4,8,4,50.0,1.79,0.9,0.5,1.0,17.2,0,0,0,0.9,0.9,0.12,3.1,3.1,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,49,67,73.1,708,140,0,0.3,0.3,-0.3,4,4,2,0,10,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,67,66,1,0,0,1,8,1,0,0,0,0,49,0,4,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,6,1.34,5,0,0,0,1,0,3,0.67,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,3,2,2,0,1,3,33.3,2,2,0,2,1,4,4,0,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,137,3,15,54,74,17,137,22,14,63.6,8,36.4,83,508,219,11,7,5,24,16,92,21,117,de GER,"MF,FW",de Bundesliga,20-332,2004.0,6,402.0,67,74.4,4.5,5,75.0,0,1,27.0,0,1.17,8,6,2,0.45,5.01,5.9,7.7,-1.8,-0.41,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,0,0,0,5,4,2,8,1,2,0,0,0,11,3,12,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,SC Paderborn,ST,LW,-,193,Germany
404,Sidiki Cherif,fr FRA,"FW,MF",Angers,fr Ligue 1,18.0,2006.0,7,5,376.0,4.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,10,5,25,0.0,0.15,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,0,11,3,27.3,2.63,0.72,0.0,0.0,16.5,0,0,0,0.6,0.6,0.06,-0.6,-0.6,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,46,71,64.8,732,146,0,0.0,0.2,0.0,0,5,0,0,5,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,71,71,0,0,1,0,5,0,0,0,0,0,46,0,7,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,4,0.96,2,0,1,0,1,0,0,0.0,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,3,0,1,2,0,3,66.7,1,5,0,5,2,5,0,0,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,129,2,24,61,47,14,129,15,4,26.7,11,73.3,80,644,277,10,7,1,13,6,87,25,493,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,7,376.0,54,59.7,4.2,5,64.0,0,2,29.0,0,0.71,2,8,-6,-1.44,-0.73,3.8,7.4,-3.7,-0.88,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,1,0,0,5,5,1,5,2,0,0,0,0,15,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Angers SCO,ST,LW,-,185,France
481,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,21.0,2004.0,7,7,613.0,6.8,0,0,0,0,0,0,1,0,0.7,0.7,0.7,1.4,11,39,16,0.0,0.2,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,0,6,2,33.3,0.88,0.29,0.0,0.0,22.7,0,0,0,0.7,0.7,0.11,-0.7,-0.7,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,271,324,83.6,4717,1296,0,0.7,0.8,-0.7,12,40,3,0,39,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,324,306,16,6,3,3,12,0,9,4,3,0,271,2,4,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,22,3.23,18,3,0,1,0,0,0,0.0,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,21,11,7,11,3,23,17.4,19,6,1,5,6,27,2,0,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,394,3,77,213,111,5,394,13,7,53.8,4,30.8,225,1273,571,11,9,1,16,9,255,16,590,fr FRA,MF,fr Ligue 1,21-100,2004.0,7,613.0,88,97.3,6.8,7,88.0,5,0,,0,0.86,5,10,-5,-0.73,-0.73,6.7,8.8,-2.1,-0.31,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,1,0,0,9,2,0,12,6,11,0,0,0,47,1,7,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,AJ Auxerre,CAM,LW,-,178,France
673,Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,20.0,2005.0,7,5,499.0,5.5,2,1,3,2,0,0,2,0,1.3,1.3,1.9,3.2,26,19,57,0.54,0.58,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,2,11,4,36.4,1.98,0.72,0.18,0.5,16.1,0,0,0,1.3,1.3,0.12,0.7,0.7,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,126,161,78.3,1857,485,1,1.9,1.7,-0.9,9,5,13,3,19,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,161,155,6,0,2,0,17,1,5,1,2,0,126,0,8,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,22,3.97,15,2,1,2,2,0,2,0.36,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,4,2,1,2,1,3,33.3,2,5,0,5,1,5,1,0,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,202,0,7,53,147,36,202,14,8,57.1,5,35.7,135,1208,744,26,14,18,5,5,158,57,820,be BEL,FW,fr Ligue 1,20-245,2005.0,7,499.0,71,79.2,5.5,5,85.0,2,2,38.0,0,1.57,6,9,-3,-0.54,-5.35,10.4,8.3,2.1,0.38,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,2,0,0,2,9,4,17,1,2,1,0,0,12,2,1,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Lille,CF,LW,RW,188,Belgium
681,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,20.0,2005.0,7,7,578.0,6.4,2,1,3,2,0,0,1,0,2.5,2.5,1.9,4.4,33,13,81,0.47,0.69,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,2,14,8,57.1,2.18,1.25,0.14,0.25,15.4,0,0,0,2.5,2.5,0.18,-0.5,-0.5,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,146,189,77.2,2023,486,1,1.9,1.8,-0.9,8,5,8,3,13,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,189,184,5,1,2,1,19,4,0,0,0,0,146,0,13,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,22,3.43,14,0,3,4,1,0,1,0.16,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,6,3,2,4,0,5,60.0,2,2,0,2,3,9,3,0,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,264,3,33,90,144,34,264,22,6,27.3,12,54.5,183,1329,823,33,20,17,15,3,207,81,832,be BEL,FW,fr Ligue 1,20-189,2005.0,7,578.0,83,91.7,6.4,7,83.0,1,0,,0,2.14,8,3,5,0.78,2.51,10.4,6.0,4.4,0.68,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,1,0,0,11,17,3,19,3,3,0,0,0,15,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Olympique Lyon,LW,RW,-,169,Belgium
920,Arijon Ibrahimović,de GER,"MF,FW",Heidenheim,de Bundesliga,19.0,2005.0,6,6,460.0,5.1,0,0,0,0,0,0,1,0,1.3,1.3,0.3,1.6,6,15,18,0.0,0.31,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,0,6,3,50.0,1.17,0.59,0.0,0.0,17.3,0,0,0,1.3,1.3,0.22,-1.3,-1.3,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,123,183,67.2,2333,628,0,0.3,0.4,-0.3,7,9,5,0,15,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,183,151,31,8,1,2,12,6,10,5,3,0,123,1,1,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,16,3.13,8,5,1,1,1,0,0,0.0,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,6,1,3,3,0,11,45.5,6,7,0,7,4,10,7,0,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,243,5,49,109,89,11,243,10,2,20.0,7,70.0,109,684,248,6,6,2,13,4,138,18,1110,de GER,"MF,FW",de Bundesliga,19-299,2005.0,6,460.0,77,85.2,5.1,6,77.0,0,0,,0,0.5,3,8,-5,-0.98,1.27,5.1,8.5,-3.4,-0.67,920,de GER,"MF,FW",de Bundesliga,19-299,2005.0,5.1,1,0,0,2,2,1,12,4,1,0,0,0,22,8,6,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Bayern Munich,CAM,LW,-,176,Germany
1162,Adrián Liso,es ESP,FW,Getafe,es La Liga,20.0,2005.0,5,5,425.0,4.7,3,0,3,3,0,0,1,0,0.7,0.7,0.0,0.7,4,2,25,0.64,0.15,1162,es ESP,FW,es La Liga,20-187,2005.0,4.7,3,8,4,50.0,1.69,0.85,0.38,0.75,18.5,0,0,0,0.7,0.7,0.09,2.3,2.3,1162,es ESP,FW,es La Liga,20-187,2005.0,4.7,60,81,74.1,755,106,0,0.0,0.1,0.0,0,1,0,0,2,1162,es ESP,FW,es La Liga,20-187,2005.0,4.7,81,71,10,2,0,0,13,1,4,2,0,0,60,0,5,1162,es ESP,FW,es La Liga,20-187,2005.0,4.7,7,1.48,2,3,0,1,1,0,2,0.42,1162,es ESP,FW,es La Liga,20-187,2005.0,4.7,5,5,1,3,1,4,75.0,1,6,1,5,0,5,0,0,1162,es ESP,FW,es La Liga,20-187,2005.0,4.7,134,2,15,54,67,16,134,9,2,22.2,5,55.6,71,334,136,4,4,2,14,9,85,25,1409,es ESP,FW,es La Liga,20-187,2005.0,5,425.0,85,59.0,4.7,5,85.0,2,0,,0,1.8,6,7,-1,-0.21,0.09,3.6,4.3,-0.6,-0.13,1162,es ESP,FW,es La Liga,20-187,2005.0,4.7,1,0,0,10,9,6,13,0,5,0,0,0,17,2,19,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Real Zaragoza,LW,RW,-,181,Spain
1304,Samuel Mbangula,be BEL,FW,Werder Bremen,de Bundesliga,21.0,2004.0,5,5,366.0,4.1,2,1,3,2,0,0,0,0,0.3,0.3,0.4,0.7,9,13,12,0.74,0.17,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,2,4,2,50.0,0.98,0.49,0.5,1.0,18.1,0,0,0,0.3,0.3,0.08,1.7,1.7,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,116,145,80.0,1553,344,1,0.4,0.4,0.6,3,7,2,1,13,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,145,139,5,2,1,2,2,3,0,0,0,0,116,1,7,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,14,3.43,12,0,0,0,2,0,3,0.74,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,9,5,4,2,3,10,60.0,4,4,1,3,4,13,1,0,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,194,5,45,94,60,10,194,15,5,33.3,9,60.0,118,752,268,9,8,4,9,8,131,12,1586,be BEL,FW,de Bundesliga,21-263,2004.0,5,366.0,73,67.8,4.1,5,73.0,0,0,,0,1.4,6,9,-3,-0.74,0.3,4.8,8.5,-3.7,-0.91,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,0,0,0,2,8,1,2,4,5,2,0,0,20,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Juventus,LW,RW,-,172,Belgium
1360,Yankuba Minteh,gm GAM,FW,Brighton,eng Premier League,21.0,2004.0,7,7,591.0,6.6,1,2,3,1,0,0,0,0,1.6,1.6,2.0,3.6,37,7,59,0.46,0.55,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,1,11,3,27.3,1.68,0.46,0.09,0.33,13.7,0,0,0,1.6,1.6,0.15,-0.6,-0.6,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,96,170,56.5,1492,497,2,2.0,1.2,0.0,12,6,6,5,7,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,170,156,11,0,0,2,25,5,6,3,0,0,96,3,7,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,24,3.65,14,1,5,2,1,1,3,0.46,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,12,10,4,5,3,13,46.2,7,8,0,8,6,18,4,0,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,258,4,33,86,149,41,258,33,19,57.6,12,36.4,168,1463,878,37,13,22,17,8,167,59,1653,gm GAM,FW,eng Premier League,21-076,2004.0,7,591.0,84,93.8,6.6,7,84.0,4,0,,0,1.29,10,8,2,0.3,4.92,10.4,8.7,1.7,0.26,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,0,0,0,6,8,3,25,6,10,0,0,0,29,7,6,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Brighton & Hove Albion,RW,LW,RM,180,The Gambia
1382,Diego Moreira,be BEL,"DF,FW",Strasbourg,fr Ligue 1,21.0,2004.0,6,5,442.0,4.9,0,1,1,0,0,0,1,0,0.2,0.2,1.7,1.9,16,25,37,0.2,0.38,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,0,4,1,25.0,0.81,0.2,0.0,0.0,20.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,161,212,75.9,2536,823,1,1.7,0.9,-0.7,12,9,12,4,25,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,212,197,15,2,0,0,21,13,0,0,0,0,161,0,6,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,15,3.05,13,0,2,0,0,0,2,0.41,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,12,7,5,2,5,14,64.3,5,6,1,5,1,13,11,0,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,274,16,59,114,104,10,274,19,6,31.6,13,68.4,153,863,455,16,9,4,8,5,193,37,1686,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,6,442.0,74,70.2,4.9,5,83.0,2,1,27.0,0,2.0,9,5,4,0.81,-0.62,9.6,5.4,4.2,0.86,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,1,0,0,2,4,1,21,1,7,0,0,0,17,4,5,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,RC Strasbourg,LW,RW,-,179,Portugal
