Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
142,Samson Baidoo,at AUT,DF,Lens,fr Ligue 1,21.0,2004.0,6,5,495.0,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,11,1,0.0,0.02,142,at AUT,DF,fr Ligue 1,21-189,2004.0,5.5,0,3,2,66.7,0.55,0.36,0.0,0.0,16.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,142,at AUT,DF,fr Ligue 1,21-189,2004.0,5.5,190,204,93.1,3465,1007,0,0.0,0.0,0.0,0,11,0,0,11,142,at AUT,DF,fr Ligue 1,21-189,2004.0,5.5,204,194,10,9,0,2,0,0,0,0,0,0,190,0,0,142,at AUT,DF,fr Ligue 1,21-189,2004.0,5.5,6,1.09,3,0,0,3,0,0,1,0.18,142,at AUT,DF,fr Ligue 1,21-189,2004.0,5.5,6,5,5,0,1,7,42.9,4,14,12,2,7,13,23,0,142,at AUT,DF,fr Ligue 1,21-189,2004.0,5.5,264,50,164,90,12,4,264,2,2,100.0,0,0.0,123,651,305,0,0,0,1,1,152,1,173,at AUT,DF,fr Ligue 1,21-189,2004.0,6,495.0,83,78.6,5.5,5,90.0,5,1,45.0,1,1.67,8,4,4,0.73,0.73,10.2,7.5,2.7,0.49,142,at AUT,DF,fr Ligue 1,21-189,2004.0,5.5,2,0,0,7,1,0,0,7,5,0,0,0,26,7,9,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Valentín Barco,ar ARG,"MF,DF",Strasbourg,fr Ligue 1,21.0,2004.0,7,6,565.0,6.3,0,1,1,0,0,0,2,0,0.8,0.8,1.8,2.6,9,45,23,0.16,0.42,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,0,5,2,40.0,0.8,0.32,0.0,0.0,17.5,1,0,0,0.8,0.8,0.16,-0.8,-0.8,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,334,404,82.7,5411,1744,1,1.8,1.7,-0.8,8,25,15,1,45,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,404,354,48,29,4,0,20,13,6,1,4,0,334,2,6,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,21,3.34,13,4,0,1,2,1,4,0.64,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,18,11,9,7,2,13,84.6,2,3,0,3,4,22,7,0,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,468,15,121,237,118,8,468,20,8,40.0,10,50.0,282,1064,635,9,12,2,7,5,327,23,202,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,7,565.0,81,89.7,6.3,6,86.0,4,1,50.0,0,2.14,14,6,8,1.27,2.66,12.8,6.6,6.3,1.0,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,2,0,0,5,19,0,20,4,11,0,0,0,40,4,7,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,21.0,2003.0,5,5,429.0,4.8,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,1,17,1,0.21,0.07,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,1,2,1,50.0,0.42,0.21,0.5,1.0,10.0,0,0,0,0.3,0.3,0.17,0.7,0.7,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,424,440,96.4,7017,3020,0,0.0,0.1,0.0,0,22,0,0,17,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,440,429,11,3,0,2,0,0,0,0,0,0,424,0,0,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,3,0.63,3,0,0,0,0,0,1,0.21,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,10,6,8,2,0,9,66.7,3,5,3,2,4,14,28,0,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,498,75,232,256,11,6,498,0,0,,0,,296,970,543,1,0,0,3,0,383,1,270,br BRA,DF,fr Ligue 1,21-316,2003.0,5,429.0,86,68.1,4.8,5,86.0,4,0,,2,2.6,12,4,8,1.68,1.68,7.7,4.6,3.1,0.66,221,br BRA,DF,fr Ligue 1,21-316,2003.0,4.8,0,0,0,4,1,0,0,4,6,0,0,0,28,14,9,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Alessandro Circati,au AUS,DF,Parma,it Serie A,21.0,2003.0,6,6,540.0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,18,0,0.0,0.02,417,au AUS,DF,it Serie A,21-361,2003.0,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,417,au AUS,DF,it Serie A,21-361,2003.0,6.0,276,319,86.5,5287,2047,0,0.1,0.1,-0.1,3,18,2,0,18,417,au AUS,DF,it Serie A,21-361,2003.0,6.0,319,305,14,14,0,1,0,0,0,0,0,0,276,0,2,417,au AUS,DF,it Serie A,21-361,2003.0,6.0,6,1.0,5,0,0,0,1,0,0,0.0,417,au AUS,DF,it Serie A,21-361,2003.0,6.0,4,3,1,2,1,2,100.0,0,14,9,5,6,10,28,0,417,au AUS,DF,it Serie A,21-361,2003.0,6.0,378,46,193,179,7,0,378,0,0,,0,,218,1048,584,0,0,0,3,0,220,0,509,au AUS,DF,it Serie A,21-361,2003.0,6,540.0,90,100.0,6.0,6,90.0,6,0,,0,0.83,3,7,-4,-0.67,,5.9,5.6,0.3,0.05,417,au AUS,DF,it Serie A,21-361,2003.0,6.0,0,0,0,6,5,0,0,6,3,0,0,0,26,22,9,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,21.0,2004.0,5,5,415.0,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,14,28,6,0.0,0.0,427,de GER,DF,de Bundesliga,21-269,2004.0,4.6,0,1,0,0.0,0.22,0.0,0.0,,32.1,0,0,0,0.0,0.0,0.02,0.0,0.0,427,de GER,DF,de Bundesliga,21-269,2004.0,4.6,248,295,84.1,4452,1372,0,0.0,0.1,0.0,0,25,0,0,28,427,de GER,DF,de Bundesliga,21-269,2004.0,4.6,295,265,29,7,0,0,1,22,0,0,0,0,248,1,7,427,de GER,DF,de Bundesliga,21-269,2004.0,4.6,3,0.65,3,0,0,0,0,0,1,0.22,427,de GER,DF,de Bundesliga,21-269,2004.0,4.6,15,9,5,5,5,12,66.7,4,7,0,7,6,21,17,1,427,de GER,DF,de Bundesliga,21-269,2004.0,4.6,362,15,117,200,46,1,362,10,3,30.0,7,70.0,206,1083,656,14,4,1,6,1,239,6,519,de GER,DF,de Bundesliga,21-269,2004.0,5,415.0,83,76.9,4.6,5,83.0,3,0,,1,1.8,17,9,8,1.73,6.77,9.4,5.5,3.9,0.84,427,de GER,DF,de Bundesliga,21-269,2004.0,4.6,1,0,0,5,2,0,1,6,9,0,0,0,10,5,4,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Abdoul Coulibaly,de GER,DF,Werder Bremen,de Bundesliga,18.0,2007.0,6,5,463.0,5.1,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,4,14,0,0.19,0.12,448,de GER,DF,de Bundesliga,18-136,2007.0,5.1,1,3,1,33.3,0.58,0.19,0.33,1.0,8.2,0,0,0,0.5,0.5,0.17,0.5,0.5,448,de GER,DF,de Bundesliga,18-136,2007.0,5.1,296,353,83.9,5871,1838,0,0.1,0.1,-0.1,3,16,0,0,14,448,de GER,DF,de Bundesliga,18-136,2007.0,5.1,353,321,30,4,0,4,1,0,0,0,0,0,296,2,4,448,de GER,DF,de Bundesliga,18-136,2007.0,5.1,4,0.78,4,0,0,0,0,0,0,0.0,448,de GER,DF,de Bundesliga,18-136,2007.0,5.1,7,2,4,3,0,6,50.0,3,8,7,1,7,14,27,2,448,de GER,DF,de Bundesliga,18-136,2007.0,5.1,409,63,246,154,9,3,409,3,3,100.0,0,0.0,264,1382,724,4,3,0,1,1,292,0,550,de GER,DF,de Bundesliga,18-136,2007.0,6,463.0,77,85.7,5.1,5,90.0,5,1,13.0,0,1.17,8,10,-2,-0.39,3.12,8.2,10.2,-2.0,-0.39,448,de GER,DF,de Bundesliga,18-136,2007.0,5.1,0,0,0,2,1,1,1,7,2,0,0,1,13,8,14,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,18.0,2007.0,5,5,428.0,4.8,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,11,33,1,0.0,0.09,462,es ESP,DF,es La Liga,18-257,2007.0,4.8,0,2,0,0.0,0.42,0.0,0.0,,18.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,462,es ESP,DF,es La Liga,18-257,2007.0,4.8,375,407,92.1,6646,2603,0,0.3,0.2,-0.3,1,46,1,0,33,462,es ESP,DF,es La Liga,18-257,2007.0,4.8,407,385,22,18,1,1,0,2,0,0,0,0,375,0,1,462,es ESP,DF,es La Liga,18-257,2007.0,4.8,5,1.05,3,0,1,1,0,0,1,0.21,462,es ESP,DF,es La Liga,18-257,2007.0,4.8,14,10,5,8,1,7,71.4,2,1,1,0,3,17,24,0,462,es ESP,DF,es La Liga,18-257,2007.0,4.8,459,30,154,284,23,4,459,1,1,100.0,0,0.0,265,1758,1029,11,8,1,0,0,334,1,568,es ESP,DF,es La Liga,18-257,2007.0,5,428.0,86,59.4,4.8,5,86.0,4,0,,3,2.4,15,7,8,1.68,0.14,11.4,6.0,5.5,1.15,462,es ESP,DF,es La Liga,18-257,2007.0,4.8,0,0,0,5,0,0,0,3,10,0,0,0,14,13,6,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Davinchi,es ESP,DF,Getafe,es La Liga,17.0,2007.0,7,4,429.0,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,11,12,0.0,0.05,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,0,3,1,33.3,0.63,0.21,0.0,0.0,17.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,140,214,65.4,2186,1062,0,0.0,0.5,0.0,2,9,2,0,11,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,214,159,54,0,0,0,12,54,0,0,0,0,140,1,8,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,12,2.52,7,2,1,1,0,1,0,0.0,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,14,9,9,3,2,12,83.3,2,6,1,5,3,17,23,1,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,287,9,91,120,78,6,287,13,8,61.5,5,38.5,79,363,155,3,3,1,10,3,112,12,602,es ESP,DF,es La Liga,17-355,2007.0,7,429.0,61,59.6,4.8,4,82.0,3,3,34.0,1,1.57,5,5,0,0.0,0.62,3.4,3.5,-0.1,-0.02,490,es ESP,DF,es La Liga,17-355,2007.0,4.8,1,0,0,14,1,0,12,3,9,0,0,0,20,6,6,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,El Hadji Malick Diouf,sn SEN,DF,West Ham,eng Premier League,20.0,2004.0,7,7,630.0,7.0,0,3,3,0,0,0,1,0,0.2,0.2,0.7,0.9,11,21,31,0.43,0.13,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,0,5,1,20.0,0.71,0.14,0.0,0.0,23.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,223,306,72.9,3553,1394,3,0.7,0.7,2.3,7,16,8,3,21,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,306,245,60,2,3,1,28,51,7,6,1,0,223,1,9,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,11,1.57,8,2,1,0,0,0,3,0.43,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,6,2,3,3,0,5,60.0,2,4,3,1,4,10,35,1,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,388,28,131,142,115,7,388,12,4,33.3,8,66.7,171,851,453,11,13,1,9,5,215,31,674,sn SEN,DF,eng Premier League,20-282,2004.0,7,630.0,90,100.0,7.0,7,90.0,7,0,,0,0.57,6,16,-10,-1.43,,6.6,11.1,-4.5,-0.64,555,sn SEN,DF,eng Premier League,20-282,2004.0,7.0,1,0,0,10,4,0,28,4,2,0,1,0,25,12,10,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,20.0,2004.0,6,5,471.0,5.2,0,1,1,0,0,0,2,0,0.2,0.2,0.8,1.1,17,7,41,0.19,0.21,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,0,4,0,0.0,0.76,0.0,0.0,,21.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,147,204,72.1,2121,459,1,0.8,0.6,0.2,6,5,6,3,7,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,204,171,33,0,0,1,17,33,0,0,0,0,147,0,7,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,13,2.48,12,0,1,0,0,0,1,0.19,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,15,12,8,4,3,14,78.6,3,5,1,4,7,22,9,0,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,281,7,62,107,114,23,281,16,3,18.8,11,68.8,152,782,415,17,8,4,14,7,178,41,698,dk DEN,DF,eng Premier League,20-345,2004.0,6,471.0,79,74.8,5.2,5,89.0,4,1,27.0,1,1.17,4,8,-4,-0.76,-1.9,8.5,8.2,0.3,0.05,576,dk DEN,DF,eng Premier League,20-345,2004.0,5.2,2,0,0,8,18,3,17,7,12,0,0,0,16,14,14,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
