Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
94,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,20.0,2004.0,6,5,402.0,4.5,4,0,4,4,0,0,0,0,0.9,0.9,0.3,1.3,11,10,21,0.9,0.29,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,4,8,4,50.0,1.79,0.9,0.5,1.0,17.2,0,0,0,0.9,0.9,0.12,3.1,3.1,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,49,67,73.1,708,140,0,0.3,0.3,-0.3,4,4,2,0,10,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,67,66,1,0,0,1,8,1,0,0,0,0,49,0,4,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,6,1.34,5,0,0,0,1,0,3,0.67,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,3,2,2,0,1,3,33.3,2,2,0,2,1,4,4,0,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,137,3,15,54,74,17,137,22,14,63.6,8,36.4,83,508,219,11,7,5,24,16,92,21,117,de GER,"MF,FW",de Bundesliga,20-332,2004.0,6,402.0,67,74.4,4.5,5,75.0,0,1,27.0,0,1.17,8,6,2,0.45,5.01,5.9,7.7,-1.8,-0.41,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,0,0,0,5,4,2,8,1,2,0,0,0,11,3,12,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Yaser Asprilla,co COL,FW,Girona,es La Liga,21.0,2003.0,8,5,402.0,4.5,0,0,0,0,0,0,0,0,0.5,0.5,1.1,1.6,13,17,39,0.0,0.36,119,co COL,FW,es La Liga,21-321,2003.0,4.5,0,12,4,33.3,2.69,0.9,0.0,0.0,22.8,1,0,0,0.5,0.5,0.04,-0.5,-0.5,119,co COL,FW,es La Liga,21-321,2003.0,4.5,87,121,71.9,1777,504,0,1.1,1.1,-1.1,4,6,9,1,17,119,co COL,FW,es La Liga,21-321,2003.0,4.5,121,105,16,5,0,2,27,0,10,3,5,0,87,0,3,119,co COL,FW,es La Liga,21-321,2003.0,4.5,12,2.69,8,2,1,1,0,0,0,0.0,119,co COL,FW,es La Liga,21-321,2003.0,4.5,6,2,1,4,1,2,100.0,0,5,1,4,4,10,4,0,119,co COL,FW,es La Liga,21-321,2003.0,4.5,174,4,19,65,94,16,174,13,7,53.8,5,38.5,108,652,289,13,6,5,12,4,109,39,146,co COL,FW,es La Liga,21-321,2003.0,8,402.0,50,55.8,4.5,5,70.0,2,3,17.0,0,0.75,3,8,-5,-1.12,0.86,4.1,8.8,-4.7,-1.05,119,co COL,FW,es La Liga,21-321,2003.0,4.5,0,0,0,6,2,3,27,4,2,0,0,0,12,2,4,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Sidiki Cherif,fr FRA,"FW,MF",Angers,fr Ligue 1,18.0,2006.0,7,5,376.0,4.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,10,5,25,0.0,0.15,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,0,11,3,27.3,2.63,0.72,0.0,0.0,16.5,0,0,0,0.6,0.6,0.06,-0.6,-0.6,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,46,71,64.8,732,146,0,0.0,0.2,0.0,0,5,0,0,5,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,71,71,0,0,1,0,5,0,0,0,0,0,46,0,7,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,4,0.96,2,0,1,0,1,0,0,0.0,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,3,0,1,2,0,3,66.7,1,5,0,5,2,5,0,0,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,129,2,24,61,47,14,129,15,4,26.7,11,73.3,80,644,277,10,7,1,13,6,87,25,493,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,7,376.0,54,59.7,4.2,5,64.0,0,2,29.0,0,0.71,2,8,-6,-1.44,-0.73,3.8,7.4,-3.7,-0.88,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,1,0,0,5,5,1,5,2,0,0,0,0,15,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Etta Eyong,cm CMR,FW,Levante,es La Liga,21.0,2003.0,5,5,381.0,4.2,4,1,5,4,0,0,1,0,3.3,3.3,0.5,3.8,1,3,17,1.18,0.9,646,cm CMR,FW,es La Liga,21-357,2003.0,4.2,4,13,5,38.5,3.07,1.18,0.31,0.8,13.8,0,0,0,3.3,3.3,0.25,0.7,0.7,646,cm CMR,FW,es La Liga,21-357,2003.0,4.2,45,62,72.6,538,112,1,0.5,0.3,0.5,2,5,1,0,3,646,cm CMR,FW,es La Liga,21-357,2003.0,4.2,62,56,5,0,0,0,0,0,0,0,0,0,45,1,1,646,cm CMR,FW,es La Liga,21-357,2003.0,4.2,8,1.89,4,0,1,2,1,0,3,0.71,646,cm CMR,FW,es La Liga,21-357,2003.0,4.2,7,5,2,4,1,5,80.0,1,3,0,3,2,9,8,0,646,cm CMR,FW,es La Liga,21-357,2003.0,4.2,135,10,17,63,55,16,135,4,1,25.0,3,75.0,72,242,64,1,1,1,20,7,86,17,783,cm CMR,FW,es La Liga,21-357,2003.0,5,381.0,76,52.9,4.2,5,76.0,1,0,,0,1.6,9,6,3,0.71,1.77,7.3,6.0,1.3,0.31,646,cm CMR,FW,es La Liga,21-357,2003.0,4.2,1,0,0,3,7,1,0,2,5,0,0,0,13,11,14,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Mateus Fernandes,pt POR,"MF,FW",West Ham,eng Premier League,21.0,2004.0,5,5,398.0,4.4,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,6,12,6,0.0,0.15,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,0,2,0,0.0,0.45,0.0,0.0,,25.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,151,167,90.4,2506,511,0,0.5,0.3,-0.5,4,11,2,0,12,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,167,159,8,3,1,1,3,1,1,0,1,0,151,0,1,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,6,1.36,6,0,0,0,0,0,0,0.0,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,14,8,8,6,0,13,46.2,7,6,1,5,2,16,3,0,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,209,10,42,131,37,4,209,4,1,25.0,2,50.0,110,563,237,6,4,1,6,5,139,6,808,pt POR,"MF,FW",eng Premier League,21-088,2004.0,5,398.0,80,63.2,4.4,5,80.0,2,0,,0,0.8,2,7,-5,-1.13,0.81,3.3,6.8,-3.5,-0.79,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,0,0,0,8,3,0,3,2,8,0,0,0,15,1,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,20.0,2005.0,7,5,499.0,5.5,2,1,3,2,0,0,2,0,1.3,1.3,1.9,3.2,26,19,57,0.54,0.58,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,2,11,4,36.4,1.98,0.72,0.18,0.5,16.1,0,0,0,1.3,1.3,0.12,0.7,0.7,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,126,161,78.3,1857,485,1,1.9,1.7,-0.9,9,5,13,3,19,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,161,155,6,0,2,0,17,1,5,1,2,0,126,0,8,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,22,3.97,15,2,1,2,2,0,2,0.36,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,4,2,1,2,1,3,33.3,2,5,0,5,1,5,1,0,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,202,0,7,53,147,36,202,14,8,57.1,5,35.7,135,1208,744,26,14,18,5,5,158,57,820,be BEL,FW,fr Ligue 1,20-245,2005.0,7,499.0,71,79.2,5.5,5,85.0,2,2,38.0,0,1.57,6,9,-3,-0.54,-5.35,10.4,8.3,2.1,0.38,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,2,0,0,2,9,4,17,1,2,1,0,0,12,2,1,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,20.0,2005.0,7,7,578.0,6.4,2,1,3,2,0,0,1,0,2.5,2.5,1.9,4.4,33,13,81,0.47,0.69,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,2,14,8,57.1,2.18,1.25,0.14,0.25,15.4,0,0,0,2.5,2.5,0.18,-0.5,-0.5,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,146,189,77.2,2023,486,1,1.9,1.8,-0.9,8,5,8,3,13,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,189,184,5,1,2,1,19,4,0,0,0,0,146,0,13,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,22,3.43,14,0,3,4,1,0,1,0.16,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,6,3,2,4,0,5,60.0,2,2,0,2,3,9,3,0,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,264,3,33,90,144,34,264,22,6,27.3,12,54.5,183,1329,823,33,20,17,15,3,207,81,832,be BEL,FW,fr Ligue 1,20-189,2005.0,7,578.0,83,91.7,6.4,7,83.0,1,0,,0,2.14,8,3,5,0.78,2.51,10.4,6.0,4.4,0.68,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,1,0,0,11,17,3,19,3,3,0,0,0,15,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Rayan Fofana,fr FRA,FW,Lens,fr Ligue 1,19.0,2006.0,7,4,375.0,4.2,2,0,2,2,0,0,0,0,2.1,2.1,0.1,2.2,7,2,27,0.48,0.53,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,2,17,5,29.4,4.08,1.2,0.12,0.4,15.5,0,0,0,2.1,2.1,0.13,-0.1,-0.1,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,47,67,70.1,577,48,0,0.1,0.1,-0.1,2,0,0,0,2,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,67,58,8,0,0,0,1,1,0,0,0,0,47,1,2,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,12,2.88,5,0,4,2,1,0,1,0.24,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,4,2,3,0,1,1,100.0,0,7,1,6,2,6,4,0,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,141,4,12,69,63,28,141,12,5,41.7,6,50.0,76,451,214,7,3,7,13,7,97,27,833,fr FRA,FW,fr Ligue 1,19-236,2006.0,7,375.0,54,59.5,4.2,4,68.0,0,3,35.0,0,1.86,7,4,3,0.72,0.37,8.7,7.3,1.4,0.33,682,fr FRA,FW,fr Ligue 1,19-236,2006.0,4.2,0,0,0,4,17,2,1,2,2,1,0,0,6,7,11,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Giovane,br BRA,FW,Hellas Verona,it Serie A,21.0,2003.0,6,6,489.0,5.4,0,1,1,0,0,0,1,0,1.2,1.2,0.9,2.0,16,15,35,0.18,0.37,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,0,20,12,60.0,3.68,2.21,0.0,0.0,19.4,0,0,0,1.2,1.2,0.06,-1.2,-1.2,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,78,120,65.0,1120,205,1,0.9,0.4,0.1,7,5,2,0,15,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,120,114,5,0,4,1,3,0,0,0,0,0,78,1,5,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,21,3.87,10,1,5,2,3,0,2,0.37,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,5,4,0,3,2,2,100.0,0,6,1,5,0,5,3,0,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,204,3,10,80,117,31,204,17,8,47.1,7,41.2,119,850,375,16,8,8,22,9,138,35,923,br BRA,FW,it Serie A,21-316,2003.0,6,489.0,82,90.6,5.4,6,82.0,3,0,,0,0.5,2,8,-6,-1.1,0.66,6.1,7.3,-1.2,-0.21,757,br BRA,FW,it Serie A,21-316,2003.0,5.4,1,0,0,4,6,1,3,0,4,0,0,0,19,7,33,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,Arda Güler,tr TUR,"MF,FW",Real Madrid,es La Liga,20.0,2005.0,8,7,561.0,6.2,3,3,6,3,0,0,1,0,2.3,2.3,2.6,4.9,12,47,32,0.96,0.78,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,3,14,6,42.9,2.25,0.96,0.21,0.5,16.6,1,0,0,2.3,2.3,0.16,0.7,0.7,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,344,391,88.0,5551,1329,3,2.6,2.0,0.4,22,36,12,1,47,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,391,361,29,13,5,3,21,0,16,4,6,0,344,1,6,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,36,5.78,26,7,1,1,0,1,5,0.8,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,13,9,1,9,3,6,50.0,3,2,0,2,2,15,3,1,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,459,6,33,202,229,22,459,11,5,45.5,4,36.4,289,1322,628,12,14,3,11,2,350,32,1013,tr TUR,"MF,FW",es La Liga,20-223,2005.0,8,561.0,70,77.9,6.2,7,76.0,1,1,30.0,0,2.63,13,6,7,1.12,-0.58,13.8,7.3,6.4,1.03,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,1,0,0,10,7,0,21,2,9,0,1,0,29,3,5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
