Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
50,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,20.0,2004.0,5,4,389.0,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3,18,7,0.0,0.07,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,0,4,2,50.0,0.93,0.46,0.0,0.0,29.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,110,123,89.4,1829,549,0,0.2,0.2,-0.2,5,17,3,1,18,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,123,115,7,2,1,2,2,0,0,0,0,0,110,1,1,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,10,2.31,7,0,2,1,0,0,0,0.0,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,11,8,5,5,1,4,25.0,3,3,1,2,3,14,3,0,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,164,5,31,97,40,2,164,13,6,46.2,7,53.8,92,507,262,3,5,1,6,4,91,7,59,ng NGA,MF,it Serie A,20-315,2004.0,5,389.0,78,72.0,4.3,4,90.0,4,1,29.0,1,0.4,2,8,-6,-1.39,-0.79,3.8,7.1,-3.4,-0.78,50,ng NGA,MF,it Serie A,20-315,2004.0,4.3,0,0,0,7,6,0,2,3,8,0,0,0,33,3,4,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,20.0,2004.0,6,5,402.0,4.5,4,0,4,4,0,0,0,0,0.9,0.9,0.3,1.3,11,10,21,0.9,0.29,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,4,8,4,50.0,1.79,0.9,0.5,1.0,17.2,0,0,0,0.9,0.9,0.12,3.1,3.1,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,49,67,73.1,708,140,0,0.3,0.3,-0.3,4,4,2,0,10,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,67,66,1,0,0,1,8,1,0,0,0,0,49,0,4,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,6,1.34,5,0,0,0,1,0,3,0.67,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,3,2,2,0,1,3,33.3,2,2,0,2,1,4,4,0,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,137,3,15,54,74,17,137,22,14,63.6,8,36.4,83,508,219,11,7,5,24,16,92,21,117,de GER,"MF,FW",de Bundesliga,20-332,2004.0,6,402.0,67,74.4,4.5,5,75.0,0,1,27.0,0,1.17,8,6,2,0.45,5.01,5.9,7.7,-1.8,-0.41,94,de GER,"MF,FW",de Bundesliga,20-332,2004.0,4.5,0,0,0,5,4,2,8,1,2,0,0,0,11,3,12,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21.0,2004.0,6,6,486.0,5.4,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,5,27,9,0.19,0.11,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,0,2,0,0.0,0.37,0.0,0.0,,10.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,272,316,86.1,4839,1693,1,0.5,0.4,0.5,6,26,3,1,27,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,316,301,15,10,0,2,5,4,1,0,0,0,272,0,4,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,10,1.85,8,1,0,0,1,0,1,0.19,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,6,5,1,5,0,7,42.9,4,5,1,4,6,12,5,0,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,352,12,86,225,43,6,352,5,2,40.0,3,60.0,176,931,360,5,3,1,4,4,255,9,157,xk KVX,MF,de Bundesliga,21-225,2004.0,6,486.0,81,90.0,5.4,6,81.0,3,0,,0,1.17,9,11,-2,-0.37,1.3,7.9,9.0,-1.1,-0.21,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,1,0,0,3,4,0,5,6,5,0,0,0,35,6,3,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Arthur Avom Ebong,cm CMR,MF,Lorient,fr Ligue 1,20.0,2004.0,7,6,552.0,6.1,0,1,1,0,0,0,2,0,0.3,0.3,0.9,1.2,15,37,17,0.16,0.2,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,0,5,1,20.0,0.82,0.16,0.0,0.0,21.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,240,292,82.2,4274,1297,1,0.9,1.3,0.1,9,27,9,1,37,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,292,267,22,13,4,0,15,2,5,3,1,0,240,3,9,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,18,2.93,14,1,0,1,2,0,1,0.16,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,11,8,4,7,0,10,70.0,3,7,1,6,12,23,4,0,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,348,13,81,182,89,13,348,13,10,76.9,3,23.1,220,1027,446,15,7,3,13,5,229,17,159,cm CMR,MF,fr Ligue 1,20-295,2004.0,7,552.0,79,87.6,6.1,6,87.0,4,1,29.0,0,1.0,9,9,0,0.0,8.08,9.1,7.4,1.7,0.28,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,2,0,0,5,12,0,15,12,8,0,0,0,36,3,5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Valentín Barco,ar ARG,"MF,DF",Strasbourg,fr Ligue 1,21.0,2004.0,7,6,565.0,6.3,0,1,1,0,0,0,2,0,0.8,0.8,1.8,2.6,9,45,23,0.16,0.42,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,0,5,2,40.0,0.8,0.32,0.0,0.0,17.5,1,0,0,0.8,0.8,0.16,-0.8,-0.8,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,334,404,82.7,5411,1744,1,1.8,1.7,-0.8,8,25,15,1,45,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,404,354,48,29,4,0,20,13,6,1,4,0,334,2,6,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,21,3.34,13,4,0,1,2,1,4,0.64,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,18,11,9,7,2,13,84.6,2,3,0,3,4,22,7,0,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,468,15,121,237,118,8,468,20,8,40.0,10,50.0,282,1064,635,9,12,2,7,5,327,23,202,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,7,565.0,81,89.7,6.3,6,86.0,4,1,50.0,0,2.14,14,6,8,1.27,2.66,12.8,6.6,6.3,1.0,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,2,0,0,5,19,0,20,4,11,0,0,0,40,4,7,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Lucas Bergvall,se SWE,MF,Tottenham,eng Premier League,19.0,2006.0,6,4,365.0,4.1,1,1,2,1,0,0,1,0,0.6,0.6,0.3,0.8,9,17,23,0.49,0.2,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,1,5,3,60.0,1.23,0.74,0.2,0.33,12.4,0,0,0,0.6,0.6,0.11,0.4,0.4,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,101,143,70.6,1736,489,1,0.3,0.2,0.7,2,13,4,1,17,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,143,116,26,0,0,2,9,20,0,0,0,0,101,1,1,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,9,2.22,4,3,1,1,0,0,1,0.25,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,9,6,1,8,0,6,50.0,3,1,0,1,1,10,8,1,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,182,7,26,78,80,14,182,11,7,63.6,3,27.3,99,767,397,9,8,2,7,4,103,23,276,se SWE,MF,eng Premier League,19-246,2006.0,6,365.0,61,57.9,4.1,4,81.0,0,2,21.0,1,1.83,8,3,5,1.23,0.21,5.3,4.3,1.0,0.24,226,se SWE,MF,eng Premier League,19-246,2006.0,4.1,1,0,0,8,3,0,9,1,6,0,0,0,16,2,8,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,18.0,2007.0,7,6,521.0,5.8,0,0,0,0,0,0,1,0,0.9,0.9,0.2,1.1,15,14,18,0.0,0.18,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,0,6,1,16.7,1.04,0.17,0.0,0.0,22.4,0,0,0,0.9,0.9,0.15,-0.9,-0.9,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,148,184,80.4,2460,588,0,0.2,0.4,-0.2,4,15,1,0,14,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,184,177,7,5,0,1,6,2,0,0,0,0,148,0,6,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,10,1.73,7,0,1,2,0,0,0,0.0,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,10,6,4,5,1,8,62.5,3,14,4,10,9,19,7,0,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,259,11,55,130,76,21,259,18,12,66.7,6,33.3,137,819,381,15,3,2,10,5,143,18,333,fr FRA,MF,fr Ligue 1,18-004,2007.0,7,521.0,74,82.7,5.8,6,86.0,3,1,6.0,0,1.57,7,7,0,0.0,-3.3,10.9,8.6,2.3,0.4,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,1,0,0,12,6,0,6,9,6,0,1,0,35,5,4,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Sidiki Cherif,fr FRA,"FW,MF",Angers,fr Ligue 1,18.0,2006.0,7,5,376.0,4.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,10,5,25,0.0,0.15,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,0,11,3,27.3,2.63,0.72,0.0,0.0,16.5,0,0,0,0.6,0.6,0.06,-0.6,-0.6,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,46,71,64.8,732,146,0,0.0,0.2,0.0,0,5,0,0,5,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,71,71,0,0,1,0,5,0,0,0,0,0,46,0,7,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,4,0.96,2,0,1,0,1,0,0,0.0,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,3,0,1,2,0,3,66.7,1,5,0,5,2,5,0,0,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,129,2,24,61,47,14,129,15,4,26.7,11,73.3,80,644,277,10,7,1,13,6,87,25,493,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,7,376.0,54,59.7,4.2,5,64.0,0,2,29.0,0,0.71,2,8,-6,-1.44,-0.73,3.8,7.4,-3.7,-0.88,404,fr FRA,"FW,MF",fr Ligue 1,18-295,2006.0,4.2,1,0,0,5,5,1,5,2,0,0,0,0,15,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,21.0,2004.0,7,7,613.0,6.8,0,0,0,0,0,0,1,0,0.7,0.7,0.7,1.4,11,39,16,0.0,0.2,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,0,6,2,33.3,0.88,0.29,0.0,0.0,22.7,0,0,0,0.7,0.7,0.11,-0.7,-0.7,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,271,324,83.6,4717,1296,0,0.7,0.8,-0.7,12,40,3,0,39,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,324,306,16,6,3,3,12,0,9,4,3,0,271,2,4,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,22,3.23,18,3,0,1,0,0,0,0.0,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,21,11,7,11,3,23,17.4,19,6,1,5,6,27,2,0,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,394,3,77,213,111,5,394,13,7,53.8,4,30.8,225,1273,571,11,9,1,16,9,255,16,590,fr FRA,MF,fr Ligue 1,21-100,2004.0,7,613.0,88,97.3,6.8,7,88.0,5,0,,0,0.86,5,10,-5,-0.73,-0.73,6.7,8.8,-2.1,-0.31,481,fr FRA,MF,fr Ligue 1,21-100,2004.0,6.8,1,0,0,9,2,0,12,6,11,0,0,0,47,1,7,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Mateus Fernandes,pt POR,"MF,FW",West Ham,eng Premier League,21.0,2004.0,5,5,398.0,4.4,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,6,12,6,0.0,0.15,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,0,2,0,0.0,0.45,0.0,0.0,,25.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,151,167,90.4,2506,511,0,0.5,0.3,-0.5,4,11,2,0,12,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,167,159,8,3,1,1,3,1,1,0,1,0,151,0,1,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,6,1.36,6,0,0,0,0,0,0,0.0,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,14,8,8,6,0,13,46.2,7,6,1,5,2,16,3,0,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,209,10,42,131,37,4,209,4,1,25.0,2,50.0,110,563,237,6,4,1,6,5,139,6,808,pt POR,"MF,FW",eng Premier League,21-088,2004.0,5,398.0,80,63.2,4.4,5,80.0,2,0,,0,0.8,2,7,-5,-1.13,0.81,3.3,6.8,-3.5,-0.79,666,pt POR,"MF,FW",eng Premier League,21-088,2004.0,4.4,0,0,0,8,3,0,3,2,8,0,0,0,15,1,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
