Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls_score,Ast_score,xG_score,xAG_score,PrgC_score,PrgP_score,KP_score,Min_score,WonderKidScore
835,Arda Güler,tr TUR,"MF,FW",Real Madrid,es La Liga,20.0,2005.0,8,7,561.0,6.2,3,3,6,3,0,0,1,0,2.3,2.3,2.6,4.9,12,47,32,0.96,0.78,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,3,14,6,42.9,2.25,0.96,0.21,0.5,16.6,1,0,0,2.3,2.3,0.16,0.7,0.7,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,344,391,88.0,5551,1329,3,2.6,2.0,0.4,22,36,12,1,47,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,391,361,29,13,5,3,21,0,16,4,6,0,344,1,6,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,36,5.78,26,7,1,1,0,1,5,0.8,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,13,9,1,9,3,6,50.0,3,2,0,2,2,15,3,1,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,459,6,33,202,229,22,459,11,5,45.5,4,36.4,289,1322,628,12,14,3,11,2,350,32,1013,tr TUR,"MF,FW",es La Liga,20-223,2005.0,8,561.0,70,77.9,6.2,7,76.0,1,1,30.0,0,2.63,13,6,7,1.12,-0.58,13.8,7.3,6.4,1.03,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,1,0,0,10,7,0,21,2,9,0,1,0,29,3,5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.06172839506173,97.53086419753086,97.53086419753086,100.0,73.4567901234568,96.91358024691358,100.0,85.18518518518519,93.20987654320989
1576,Nicolás Paz,ar ARG,MF,Como,it Serie A,21.0,2004.0,6,6,527.0,5.9,3,3,6,3,0,0,1,0,1.2,1.2,2.3,3.5,12,41,22,1.02,0.59,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,3,20,9,45.0,3.42,1.54,0.15,0.33,23.5,2,0,0,1.2,1.2,0.06,1.8,1.8,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,202,264,76.5,3012,1045,3,2.3,0.9,0.7,21,26,10,0,41,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,264,244,20,9,3,1,16,1,9,5,3,0,202,0,4,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,40,6.83,29,4,4,1,1,1,6,1.02,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,18,10,5,8,5,11,45.5,6,6,1,5,5,23,6,0,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,359,5,50,191,123,13,359,24,9,37.5,13,54.2,196,1041,484,12,9,4,17,12,258,22,1930,ar ARG,MF,it Serie A,21-028,2004.0,6,527.0,88,97.6,5.9,6,88.0,4,0,,0,1.5,7,5,2,0.34,0.34,7.6,5.7,2.0,0.33,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,1,0,0,17,13,0,16,5,10,0,0,0,23,6,4,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.06172839506173,97.53086419753086,82.09876543209876,98.76543209876543,73.4567901234568,92.5925925925926,98.76543209876543,72.22222222222221,88.81172839506172
681,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,20.0,2005.0,7,7,578.0,6.4,2,1,3,2,0,0,1,0,2.5,2.5,1.9,4.4,33,13,81,0.47,0.69,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,2,14,8,57.1,2.18,1.25,0.14,0.25,15.4,0,0,0,2.5,2.5,0.18,-0.5,-0.5,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,146,189,77.2,2023,486,1,1.9,1.8,-0.9,8,5,8,3,13,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,189,184,5,1,2,1,19,4,0,0,0,0,146,0,13,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,22,3.43,14,0,3,4,1,0,1,0.16,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,6,3,2,4,0,5,60.0,2,2,0,2,3,9,3,0,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,264,3,33,90,144,34,264,22,6,27.3,12,54.5,183,1329,823,33,20,17,15,3,207,81,832,be BEL,FW,fr Ligue 1,20-189,2005.0,7,578.0,83,91.7,6.4,7,83.0,1,0,,0,2.14,8,3,5,0.78,2.51,10.4,6.0,4.4,0.68,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,1,0,0,11,17,3,19,3,3,0,0,0,15,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.50617283950618,77.1604938271605,98.76543209876543,95.67901234567901,97.53086419753086,35.18518518518518,81.48148148148148,88.88888888888889,83.02469135802468
2140,Kenan Yıldız,tr TUR,MF,Juventus,it Serie A,20.0,2005.0,6,6,515.0,5.7,1,3,4,1,0,0,0,0,0.4,0.4,1.8,2.2,27,25,44,0.7,0.39,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,1,12,5,41.7,2.1,0.87,0.08,0.2,21.9,0,0,0,0.4,0.4,0.03,0.6,0.6,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,193,243,79.4,2921,714,3,1.8,1.5,1.2,17,11,11,3,25,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,243,212,30,6,2,0,28,8,16,5,1,0,193,1,5,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,27,4.72,17,5,2,2,1,0,2,0.35,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,6,0,0,5,1,5,60.0,2,2,0,2,2,8,3,1,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,315,2,33,111,171,20,315,23,10,43.5,12,52.2,196,1201,650,27,15,13,17,9,230,44,2637,tr TUR,MF,it Serie A,20-155,2005.0,6,515.0,86,95.4,5.7,6,86.0,3,0,,0,2.0,9,5,4,0.7,0.7,6.9,5.4,1.5,0.26,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,0,0,0,4,7,1,28,2,0,0,0,0,19,4,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1604938271605,97.53086419753086,56.79012345679012,91.9753086419753,95.06172839506173,78.39506172839506,97.53086419753086,68.51851851851852,82.87037037037035
673,Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,20.0,2005.0,7,5,499.0,5.5,2,1,3,2,0,0,2,0,1.3,1.3,1.9,3.2,26,19,57,0.54,0.58,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,2,11,4,36.4,1.98,0.72,0.18,0.5,16.1,0,0,0,1.3,1.3,0.12,0.7,0.7,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,126,161,78.3,1857,485,1,1.9,1.7,-0.9,9,5,13,3,19,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,161,155,6,0,2,0,17,1,5,1,2,0,126,0,8,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,22,3.97,15,2,1,2,2,0,2,0.36,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,4,2,1,2,1,3,33.3,2,5,0,5,1,5,1,0,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,202,0,7,53,147,36,202,14,8,57.1,5,35.7,135,1208,744,26,14,18,5,5,158,57,820,be BEL,FW,fr Ligue 1,20-245,2005.0,7,499.0,71,79.2,5.5,5,85.0,2,2,38.0,0,1.57,6,9,-3,-0.54,-5.35,10.4,8.3,2.1,0.38,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,2,0,0,2,9,4,17,1,2,1,0,0,12,2,1,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.50617283950618,77.1604938271605,86.41975308641975,95.67901234567901,93.82716049382715,68.51851851851852,86.41975308641975,62.96296296296296,82.56172839506173
1360,Yankuba Minteh,gm GAM,FW,Brighton,eng Premier League,21.0,2004.0,7,7,591.0,6.6,1,2,3,1,0,0,0,0,1.6,1.6,2.0,3.6,37,7,59,0.46,0.55,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,1,11,3,27.3,1.68,0.46,0.09,0.33,13.7,0,0,0,1.6,1.6,0.15,-0.6,-0.6,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,96,170,56.5,1492,497,2,2.0,1.2,0.0,12,6,6,5,7,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,170,156,11,0,0,2,25,5,6,3,0,0,96,3,7,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,24,3.65,14,1,5,2,1,1,3,0.46,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,12,10,4,5,3,13,46.2,7,8,0,8,6,18,4,0,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,258,4,33,86,149,41,258,33,19,57.6,12,36.4,168,1463,878,37,13,22,17,8,167,59,1653,gm GAM,FW,eng Premier League,21-076,2004.0,7,591.0,84,93.8,6.6,7,84.0,4,0,,0,1.29,10,8,2,0.3,4.92,10.4,8.7,1.7,0.26,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,0,0,0,6,8,3,25,6,10,0,0,0,29,7,6,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1604938271605,92.5925925925926,92.5925925925926,97.53086419753086,100.0,14.814814814814813,93.82716049382715,90.12345679012346,82.33024691358025
2036,Can Uzun,tr TUR,MF,Eint Frankfurt,de Bundesliga,19.0,2005.0,6,6,427.0,4.7,5,3,8,5,0,0,1,0,1.4,1.4,1.8,3.2,7,35,32,1.69,0.67,2036,tr TUR,MF,de Bundesliga,19-329,2005.0,4.7,5,18,7,38.9,3.79,1.48,0.28,0.71,22.1,0,0,0,1.4,1.4,0.08,3.6,3.6,2036,tr TUR,MF,de Bundesliga,19-329,2005.0,4.7,187,231,81.0,2832,843,3,1.8,1.8,1.2,9,19,8,1,35,2036,tr TUR,MF,de Bundesliga,19-329,2005.0,4.7,231,212,19,3,4,0,11,1,4,3,0,0,187,0,4,2036,tr TUR,MF,de Bundesliga,19-329,2005.0,4.7,19,4.0,14,2,2,0,1,0,4,0.84,2036,tr TUR,MF,de Bundesliga,19-329,2005.0,4.7,5,3,0,4,1,6,50.0,3,3,1,2,0,5,2,0,2036,tr TUR,MF,de Bundesliga,19-329,2005.0,4.7,293,3,13,142,139,18,293,11,4,36.4,6,54.5,185,962,385,7,13,1,13,7,218,32,2510,tr TUR,MF,de Bundesliga,19-329,2005.0,6,427.0,71,79.1,4.7,6,71.0,1,0,,0,1.5,17,9,8,1.69,7.26,9.3,5.8,3.6,0.75,2036,tr TUR,MF,de Bundesliga,19-329,2005.0,4.7,1,0,0,6,7,0,11,0,3,0,0,0,14,2,3,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,97.53086419753086,90.12345679012346,91.9753086419753,43.82716049382716,87.65432098765432,86.41975308641975,30.864197530864196,78.54938271604938
1066,Mert Kömür,de GER,"FW,MF",Augsburg,de Bundesliga,20.0,2005.0,6,5,482.0,5.4,2,2,4,2,0,0,1,0,1.3,1.3,1.1,2.4,17,14,28,0.75,0.44,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,2,13,4,30.8,2.43,0.75,0.15,0.5,16.5,0,0,0,1.3,1.3,0.1,0.7,0.7,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,131,180,72.8,1894,400,2,1.1,1.0,0.9,8,8,5,2,14,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,180,148,32,8,1,0,26,1,16,8,5,0,131,0,4,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,18,3.36,13,3,0,2,0,0,3,0.56,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,3,2,0,3,0,4,50.0,2,7,0,7,3,6,15,0,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,257,10,31,104,130,16,257,14,4,28.6,7,50.0,145,973,477,17,13,3,15,9,163,28,1287,de GER,"FW,MF",de Bundesliga,20-081,2005.0,6,482.0,80,89.3,5.4,5,90.0,5,1,32.0,0,1.0,11,11,0,0.0,3.1,6.1,12.4,-6.3,-1.18,1066,de GER,"FW,MF",de Bundesliga,20-081,2005.0,5.4,1,0,0,12,6,1,26,3,2,0,0,0,19,9,17,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.50617283950618,92.5925925925926,86.41975308641975,83.9506172839506,88.27160493827161,41.358024691358025,81.48148148148148,56.79012345679012,77.54629629629629
166,Valentín Barco,ar ARG,"MF,DF",Strasbourg,fr Ligue 1,21.0,2004.0,7,6,565.0,6.3,0,1,1,0,0,0,2,0,0.8,0.8,1.8,2.6,9,45,23,0.16,0.42,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,0,5,2,40.0,0.8,0.32,0.0,0.0,17.5,1,0,0,0.8,0.8,0.16,-0.8,-0.8,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,334,404,82.7,5411,1744,1,1.8,1.7,-0.8,8,25,15,1,45,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,404,354,48,29,4,0,20,13,6,1,4,0,334,2,6,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,21,3.34,13,4,0,1,2,1,4,0.64,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,18,11,9,7,2,13,84.6,2,3,0,3,4,22,7,0,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,468,15,121,237,118,8,468,20,8,40.0,10,50.0,282,1064,635,9,12,2,7,5,327,23,202,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,7,565.0,81,89.7,6.3,6,86.0,4,1,50.0,0,2.14,14,6,8,1.27,2.66,12.8,6.6,6.3,1.0,166,ar ARG,"MF,DF",fr Ligue 1,21-075,2004.0,6.3,2,0,0,5,19,0,20,4,11,0,0,0,40,4,7,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5679012345679,77.1604938271605,73.4567901234568,91.9753086419753,53.086419753086425,95.06172839506173,81.48148148148148,86.41975308641975,74.15123456790124
2001,Bazoumana Touré,ci CIV,"FW,MF",Hoffenheim,de Bundesliga,19.0,2006.0,6,6,527.0,5.9,0,1,1,0,0,0,1,0,1.2,1.2,0.6,1.9,35,18,58,0.17,0.32,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,0,12,4,33.3,2.05,0.68,0.0,0.0,15.2,0,0,0,1.2,1.2,0.1,-1.2,-1.2,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,116,172,67.4,1835,446,1,0.6,0.5,0.4,9,6,12,5,18,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,172,167,5,0,1,0,28,4,1,0,0,0,116,0,9,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,21,3.59,13,1,3,0,4,0,3,0.51,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,8,4,3,4,1,8,50.0,4,7,0,7,1,9,7,0,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,264,3,33,85,158,26,264,31,14,45.2,14,45.2,163,1457,693,35,18,10,23,8,178,58,2467,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,6,527.0,88,97.6,5.9,6,88.0,5,0,,0,1.17,8,12,-4,-0.68,-7.61,8.2,9.7,-1.5,-0.25,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,1,0,0,15,9,2,28,1,4,1,0,0,28,10,11,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5679012345679,77.1604938271605,82.09876543209876,67.28395061728395,98.76543209876543,63.580246913580254,86.41975308641975,72.22222222222221,72.76234567901234
