Rk,Player,Nation,Pos,Squad,Comp,Age_x,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Age_y,Club,PrimaryPosition,SecondaryPosition,ThirdPosition,Height_cm,Nationality,Tkl_Score,Int_Score,Blocks_Score,Recov_Score,Cmp%_Score,CDM_Score
132,Arthur Avom Ebong,cm CMR,MF,Lorient,fr Ligue 1,20.0,2004.0,7,6,552.0,6.1,0,1,1,0,0,0,2,0,0.3,0.3,0.9,1.2,15,37,17,0.16,0.2,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,0,5,1,20.0,0.82,0.16,0.0,0.0,21.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,240,292,82.2,4274,1297,1,0.9,1.3,0.1,9,27,9,1,37,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,292,267,22,13,4,0,15,2,5,3,1,0,240,3,9,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,18,2.93,14,1,0,1,2,0,1,0.16,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,11,8,4,7,0,10,70.0,3,7,1,6,12,23,4,0,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,348,13,81,182,89,13,348,13,10,76.9,3,23.1,220,1027,446,15,7,3,13,5,229,17,159,cm CMR,MF,fr Ligue 1,20-295,2004.0,7,552.0,79,87.6,6.1,6,87.0,4,1,29.0,0,1.0,9,9,0,0.0,8.08,9.1,7.4,1.7,0.28,132,cm CMR,MF,fr Ligue 1,20-295,2004.0,6.1,2,0,0,5,12,0,15,12,8,0,0,0,36,3,5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,FC Lorient,CM,CAM,CDM,173,Cameroon,59.76960567124502,100.0,75.82387989362776,86.07033008846753,32.91139240506332,72.95443577056643
2146,Warren Zaïre-Emery,fr FRA,"MF,DF",Paris S-G,fr Ligue 1,19.0,2006.0,7,5,481.0,5.3,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,18,43,29,0.0,0.17,2146,fr FRA,"MF,DF",fr Ligue 1,19-212,2006.0,5.3,0,3,1,33.3,0.56,0.19,0.0,0.0,18.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2146,fr FRA,"MF,DF",fr Ligue 1,19-212,2006.0,5.3,410,442,92.8,5971,1323,0,0.8,0.9,-0.8,10,49,5,0,43,2146,fr FRA,"MF,DF",fr Ligue 1,19-212,2006.0,5.3,442,428,14,3,2,2,2,11,0,0,0,0,410,0,10,2146,fr FRA,"MF,DF",fr Ligue 1,19-212,2006.0,5.3,15,2.81,15,0,0,0,0,0,1,0.19,2146,fr FRA,"MF,DF",fr Ligue 1,19-212,2006.0,5.3,8,5,1,5,2,10,60.0,4,8,1,7,4,12,4,0,2146,fr FRA,"MF,DF",fr Ligue 1,19-212,2006.0,5.3,489,11,80,272,141,10,489,13,7,53.8,5,38.5,310,1992,976,18,10,4,6,6,397,29,2646,fr FRA,"MF,DF",fr Ligue 1,19-212,2006.0,7,481.0,69,76.3,5.3,5,82.0,3,2,35.0,0,2.29,8,4,4,0.75,-1.67,7.2,4.2,3.0,0.55,2146,fr FRA,"MF,DF",fr Ligue 1,19-212,2006.0,5.3,0,0,0,11,2,0,2,4,5,0,0,0,25,2,1,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Paris Saint-Germain,CM,CDM,-,178,France,41.66241713411525,24.98489223124958,100.0,57.61103609357323,100.0,60.30348275537719
270,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,18.0,2007.0,7,6,521.0,5.8,0,0,0,0,0,0,1,0,0.9,0.9,0.2,1.1,15,14,18,0.0,0.18,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,0,6,1,16.7,1.04,0.17,0.0,0.0,22.4,0,0,0,0.9,0.9,0.15,-0.9,-0.9,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,148,184,80.4,2460,588,0,0.2,0.4,-0.2,4,15,1,0,14,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,184,177,7,5,0,1,6,2,0,0,0,0,148,0,6,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,10,1.73,7,0,1,2,0,0,0,0.0,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,10,6,4,5,1,8,62.5,3,14,4,10,9,19,7,0,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,259,11,55,130,76,21,259,18,12,66.7,6,33.3,137,819,381,15,3,2,10,5,143,18,333,fr FRA,MF,fr Ligue 1,18-004,2007.0,7,521.0,74,82.7,5.8,6,86.0,3,1,6.0,0,1.57,7,7,0,0.0,-3.3,10.9,8.6,2.3,0.4,270,fr FRA,MF,fr Ligue 1,18-004,2007.0,5.8,1,0,0,12,6,0,6,9,6,0,1,0,35,5,4,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Lille,CM,CDM,-,185,France,54.89282385834111,74.2943919499325,49.911491892657374,89.26165543920496,21.518987341772192,58.896198747746446
960,Mikel Jauregizar,es ESP,MF,Athletic Club,es La Liga,21.0,2003.0,8,8,710.0,7.9,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,8,55,12,0.13,0.12,960,es ESP,MF,es La Liga,21-328,2003.0,7.9,1,11,3,27.3,1.39,0.38,0.09,0.33,23.3,0,0,0,0.5,0.5,0.04,0.5,0.5,960,es ESP,MF,es La Liga,21-328,2003.0,7.9,332,414,80.2,5647,1599,0,0.4,0.7,-0.4,7,48,9,0,55,960,es ESP,MF,es La Liga,21-328,2003.0,7.9,414,387,26,17,2,2,22,0,9,4,0,1,332,1,6,960,es ESP,MF,es La Liga,21-328,2003.0,7.9,22,2.79,18,0,1,0,2,1,1,0.13,960,es ESP,MF,es La Liga,21-328,2003.0,7.9,12,9,3,8,1,25,36.0,16,6,0,6,14,26,5,2,960,es ESP,MF,es La Liga,21-328,2003.0,7.9,483,9,64,299,126,6,483,8,2,25.0,5,62.5,221,1078,541,8,12,1,7,6,301,12,1157,es ESP,MF,es La Liga,21-328,2003.0,8,710.0,89,98.6,7.9,8,89.0,7,0,,0,1.63,9,8,1,0.13,9.13,11.8,5.0,6.8,0.86,960,es ESP,MF,es La Liga,21-328,2003.0,7.9,0,0,0,8,5,0,22,14,9,0,0,0,50,8,6,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Athletic Bilbao,CM,CDM,-,177,Spain,42.251111871365026,87.93188882382088,33.750942219218665,96.33964204392431,20.253164556962048,56.784859607773164
656,Abdoulaye Faye,sn SEN,DF,Lorient,fr Ligue 1,21.0,2004.0,6,5,483.0,5.4,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,1,16,1,0.0,0.04,656,sn SEN,DF,fr Ligue 1,21-014,2004.0,5.4,0,4,0,0.0,0.75,0.0,0.0,,10.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,656,sn SEN,DF,fr Ligue 1,21-014,2004.0,5.4,272,307,88.6,4933,2015,0,0.0,0.1,0.0,0,19,0,0,16,656,sn SEN,DF,fr Ligue 1,21-014,2004.0,5.4,307,279,28,7,0,0,0,1,0,0,0,0,272,0,1,656,sn SEN,DF,fr Ligue 1,21-014,2004.0,5.4,4,0.75,3,0,0,1,0,0,1,0.19,656,sn SEN,DF,fr Ligue 1,21-014,2004.0,5.4,10,6,7,3,0,7,71.4,2,7,4,3,10,20,28,1,656,sn SEN,DF,fr Ligue 1,21-014,2004.0,5.4,374,64,220,135,20,8,374,3,2,66.7,1,33.3,229,1113,571,1,2,0,0,3,254,1,797,sn SEN,DF,fr Ligue 1,21-014,2004.0,6,483.0,81,76.7,5.4,5,88.0,4,1,45.0,0,1.17,8,15,-7,-1.3,-1.3,6.5,9.8,-3.3,-0.61,656,sn SEN,DF,fr Ligue 1,21-014,2004.0,5.4,4,0,0,10,6,0,0,10,6,0,1,0,15,12,7,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,BK Häcken,CB,CDM,-,188,Senegal,62.76276276276275,92.86279161723999,0.0,11.025145067698256,73.41772151898732,51.572818583003524
1895,Hugo Sotelo,es ESP,MF,Celta Vigo,es La Liga,21.0,2003.0,7,6,536.0,6.0,0,1,1,0,0,0,1,0,0.1,0.1,1.1,1.2,11,47,6,0.17,0.2,1895,es ESP,MF,es La Liga,21-291,2003.0,6.0,0,1,1,100.0,0.17,0.17,0.0,0.0,25.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,1895,es ESP,MF,es La Liga,21-291,2003.0,6.0,388,440,88.2,6949,2558,1,1.1,1.2,-0.1,15,55,4,1,47,1895,es ESP,MF,es La Liga,21-291,2003.0,6.0,440,395,43,20,2,3,28,1,22,6,14,0,388,2,2,1895,es ESP,MF,es La Liga,21-291,2003.0,6.0,23,3.86,15,8,0,0,0,0,2,0.34,1895,es ESP,MF,es La Liga,21-291,2003.0,6.0,12,6,5,5,2,12,58.3,5,10,3,7,4,16,8,0,1895,es ESP,MF,es La Liga,21-291,2003.0,6.0,479,12,82,304,96,2,479,0,0,,0,,259,1399,728,11,8,1,3,5,342,6,2346,es ESP,MF,es La Liga,21-291,2003.0,7,536.0,77,74.4,6.0,6,84.0,4,1,34.0,1,0.71,6,7,-1,-0.17,0.81,6.7,7.4,-0.8,-0.13,1895,es ESP,MF,es La Liga,21-291,2003.0,6.0,1,0,0,11,5,0,28,4,6,0,0,0,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Celta Vigo,CM,CDM,-,180,Spain,71.89189189189189,19.5373665480427,8.70636550308008,76.42166344294003,70.88607594936713,46.69474861944574
130,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21.0,2004.0,6,6,486.0,5.4,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,5,27,9,0.19,0.11,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,0,2,0,0.0,0.37,0.0,0.0,,10.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,272,316,86.1,4839,1693,1,0.5,0.4,0.5,6,26,3,1,27,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,316,301,15,10,0,2,5,4,1,0,0,0,272,0,4,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,10,1.85,8,1,0,0,1,0,1,0.19,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,6,5,1,5,0,7,42.9,4,5,1,4,6,12,5,0,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,352,12,86,225,43,6,352,5,2,40.0,3,60.0,176,931,360,5,3,1,4,4,255,9,157,xk KVX,MF,de Bundesliga,21-225,2004.0,6,486.0,81,90.0,5.4,6,81.0,3,0,,0,1.17,9,11,-2,-0.37,1.3,7.9,9.0,-1.1,-0.21,130,xk KVX,MF,de Bundesliga,21-225,2004.0,5.4,1,0,0,3,4,0,5,6,5,0,0,0,35,6,3,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,FC Basel,CDM,CM,-,183,Switzerland,17.117117117117107,47.03440094899168,32.648870636550306,100.0,57.594936708860736,46.20689415016637
1757,Noah Sadiki,cd COD,MF,Sunderland,eng Premier League,20.0,2004.0,7,7,622.0,6.9,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,12,19,22,0.0,0.04,1757,cd COD,MF,eng Premier League,20-293,2004.0,6.9,0,2,0,0.0,0.29,0.0,0.0,,16.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,1757,cd COD,MF,eng Premier League,20-293,2004.0,6.9,223,266,83.8,3426,831,0,0.1,0.3,-0.1,3,15,4,2,19,1757,cd COD,MF,eng Premier League,20-293,2004.0,6.9,266,256,9,3,2,0,7,5,0,0,0,0,223,1,6,1757,cd COD,MF,eng Premier League,20-293,2004.0,6.9,10,1.45,7,0,1,0,2,0,0,0.0,1757,cd COD,MF,eng Premier League,20-293,2004.0,6.9,11,6,4,4,3,9,77.8,2,11,1,10,10,21,8,0,1757,cd COD,MF,eng Premier League,20-293,2004.0,6.9,325,10,72,175,81,3,325,9,5,55.6,3,33.3,212,1157,544,12,10,1,7,7,231,22,2172,cd COD,MF,eng Premier League,20-293,2004.0,7,622.0,89,98.7,6.9,7,89.0,5,0,,0,1.57,7,6,1,0.14,0.14,6.7,8.1,-1.4,-0.2,1757,cd COD,MF,eng Premier League,20-293,2004.0,6.9,3,0,0,9,11,0,7,10,6,0,0,0,16,1,5,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Union SG,CDM,CM,-,175,DR Congo,46.88601645123384,67.9560575584094,40.21962324792428,0.0,43.03797468354429,43.21013935452731
914,Lucas Høgsberg,dk DEN,DF,Strasbourg,fr Ligue 1,19.0,2006.0,5,5,435.0,4.8,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,25,0,0.0,0.01,914,dk DEN,DF,fr Ligue 1,19-105,2006.0,4.8,0,1,0,0.0,0.21,0.0,0.0,,8.1,0,0,0,0.0,0.0,0.04,0.0,0.0,914,dk DEN,DF,fr Ligue 1,19-105,2006.0,4.8,332,364,91.2,6187,2389,0,0.0,0.0,0.0,0,15,0,0,25,914,dk DEN,DF,fr Ligue 1,19-105,2006.0,4.8,364,335,28,9,0,1,0,5,0,0,0,0,332,1,2,914,dk DEN,DF,fr Ligue 1,19-105,2006.0,4.8,1,0.21,0,0,0,1,0,0,1,0.21,914,dk DEN,DF,fr Ligue 1,19-105,2006.0,4.8,4,2,3,1,0,5,40.0,3,3,3,0,6,10,18,2,914,dk DEN,DF,fr Ligue 1,19-105,2006.0,4.8,397,62,199,194,5,1,397,1,1,100.0,0,0.0,276,764,384,0,0,0,3,0,291,0,1104,dk DEN,DF,fr Ligue 1,19-105,2006.0,5,435.0,87,69.0,4.8,5,87.0,3,0,,0,1.8,10,5,5,1.03,0.11,9.6,4.9,4.6,0.96,914,dk DEN,DF,fr Ligue 1,19-105,2006.0,4.8,2,1,1,7,5,0,0,6,2,0,0,0,28,4,2,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,FC Nordsjælland,CB,CDM,-,187,Denmark,0.0,55.62722419928825,13.60369609856263,84.4294003868472,89.87341772151902,42.77296798578952
2111,Adam Wharton,eng ENG,MF,Crystal Palace,eng Premier League,21.0,2004.0,6,6,451.0,5.0,0,0,0,0,0,0,1,0,0.1,0.1,1.8,2.0,7,27,5,0.0,0.39,2111,eng ENG,MF,eng Premier League,21-242,2004.0,5.0,0,3,0,0.0,0.6,0.0,0.0,,26.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2111,eng ENG,MF,eng Premier League,21-242,2004.0,5.0,160,204,78.4,2936,1067,0,1.8,1.3,-1.8,11,20,5,0,27,2111,eng ENG,MF,eng Premier League,21-242,2004.0,5.0,204,191,13,8,5,2,13,0,5,5,0,0,160,0,5,2111,eng ENG,MF,eng Premier League,21-242,2004.0,5.0,17,3.39,9,6,2,0,0,0,1,0.2,2111,eng ENG,MF,eng Premier League,21-242,2004.0,5.0,6,5,3,3,0,11,18.2,9,5,1,4,6,12,5,0,2111,eng ENG,MF,eng Premier League,21-242,2004.0,5.0,242,5,63,140,44,2,242,6,6,100.0,0,0.0,123,578,361,7,5,1,6,1,146,5,2606,eng ENG,MF,eng Premier League,21-242,2004.0,6,451.0,75,71.6,5.0,6,75.0,2,0,,0,1.83,6,4,2,0.4,-0.61,8.9,6.4,2.5,0.49,2111,eng ENG,MF,eng Premier League,21-242,2004.0,5.0,1,0,0,4,5,0,13,6,5,0,0,0,27,2,5,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Crystal Palace,CDM,CM,-,182,England,22.594594594594593,52.53380782918149,47.885010266940455,74.0193423597679,8.860759493670924,40.791117937347934
