Rk,Player,Nation,Pos,Squad,Comp,Age_x,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Age_y,Club,PrimaryPosition,SecondaryPosition,ThirdPosition,Height_cm,Nationality,Gls_Score,Ast_Score,xAG_Score,PrgC_Score,PrgP_Score,SCA_Score,RW_Score
1576,Nicolás Paz,ar ARG,MF,Como,it Serie A,21.0,2004.0,6,6,527.0,5.9,3,3,6,3,0,0,1,0,1.2,1.2,2.3,3.5,12,41,22,1.02,0.59,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,3,20,9,45.0,3.42,1.54,0.15,0.33,23.5,2,0,0,1.2,1.2,0.06,1.8,1.8,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,202,264,76.5,3012,1045,3,2.3,0.9,0.7,21,26,10,0,41,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,264,244,20,9,3,1,16,1,9,5,3,0,202,0,4,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,40,6.83,29,4,4,1,1,1,6,1.02,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,18,10,5,8,5,11,45.5,6,6,1,5,5,23,6,0,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,359,5,50,191,123,13,359,24,9,37.5,13,54.2,196,1041,484,12,9,4,17,12,258,22,1930,ar ARG,MF,it Serie A,21-028,2004.0,6,527.0,88,97.6,5.9,6,88.0,4,0,,0,1.5,7,5,2,0.34,0.34,7.6,5.7,2.0,0.33,1576,ar ARG,MF,it Serie A,21-028,2004.0,5.9,1,0,0,17,13,0,16,5,10,0,0,0,23,6,4,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Como,CAM,RW,CM,185,Argentina,53.38983050847458,96.61016949152543,92.95958279009126,27.601875225387662,91.17424704304354,100.0,75.28842865955232
835,Arda Güler,tr TUR,"MF,FW",Real Madrid,es La Liga,20.0,2005.0,8,7,561.0,6.2,3,3,6,3,0,0,1,0,2.3,2.3,2.6,4.9,12,47,32,0.96,0.78,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,3,14,6,42.9,2.25,0.96,0.21,0.5,16.6,1,0,0,2.3,2.3,0.16,0.7,0.7,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,344,391,88.0,5551,1329,3,2.6,2.0,0.4,22,36,12,1,47,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,391,361,29,13,5,3,21,0,16,4,6,0,344,1,6,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,36,5.78,26,7,1,1,0,1,5,0.8,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,13,9,1,9,3,6,50.0,3,2,0,2,2,15,3,1,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,459,6,33,202,229,22,459,11,5,45.5,4,36.4,289,1322,628,12,14,3,11,2,350,32,1013,tr TUR,"MF,FW",es La Liga,20-223,2005.0,8,561.0,70,77.9,6.2,7,76.0,1,1,30.0,0,2.63,13,6,7,1.12,-0.58,13.8,7.3,6.4,1.03,835,tr TUR,"MF,FW",es La Liga,20-223,2005.0,6.2,1,0,0,10,7,0,21,2,9,0,1,0,29,3,5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Real Madrid,CAM,RW,-,176,Turkey,50.806451612903224,91.93548387096774,100.0,26.08922443376801,100.0,81.60388767948635,73.8697183612572
2140,Kenan Yıldız,tr TUR,MF,Juventus,it Serie A,20.0,2005.0,6,6,515.0,5.7,1,3,4,1,0,0,0,0,0.4,0.4,1.8,2.2,27,25,44,0.7,0.39,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,1,12,5,41.7,2.1,0.87,0.08,0.2,21.9,0,0,0,0.4,0.4,0.03,0.6,0.6,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,193,243,79.4,2921,714,3,1.8,1.5,1.2,17,11,11,3,25,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,243,212,30,6,2,0,28,8,16,5,1,0,193,1,5,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,27,4.72,17,5,2,2,1,0,2,0.35,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,6,0,0,5,1,5,60.0,2,2,0,2,2,8,3,1,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,315,2,33,111,171,20,315,23,10,43.5,12,52.2,196,1201,650,27,15,13,17,9,230,44,2637,tr TUR,MF,it Serie A,20-155,2005.0,6,515.0,86,95.4,5.7,6,86.0,3,0,,0,2.0,9,5,4,0.7,0.7,6.9,5.4,1.5,0.26,2140,tr TUR,MF,it Serie A,20-155,2005.0,5.7,0,0,0,4,7,1,28,2,0,0,0,0,19,4,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Juventus,LW,ST,RW,187,Turkey,18.421052631578945,100.0,75.30364372469634,69.14669652855542,55.351087551011815,61.38557026513113,64.16372461780864
673,Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,20.0,2005.0,7,5,499.0,5.5,2,1,3,2,0,0,2,0,1.3,1.3,1.9,3.2,26,19,57,0.54,0.58,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,2,11,4,36.4,1.98,0.72,0.18,0.5,16.1,0,0,0,1.3,1.3,0.12,0.7,0.7,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,126,161,78.3,1857,485,1,1.9,1.7,-0.9,9,5,13,3,19,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,161,155,6,0,2,0,17,1,5,1,2,0,126,0,8,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,22,3.97,15,2,1,2,2,0,2,0.36,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,4,2,1,2,1,3,33.3,2,5,0,5,1,5,1,0,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,202,0,7,53,147,36,202,14,8,57.1,5,35.7,135,1208,744,26,14,18,5,5,158,57,820,be BEL,FW,fr Ligue 1,20-245,2005.0,7,499.0,71,79.2,5.5,5,85.0,2,2,38.0,0,1.57,6,9,-3,-0.54,-5.35,10.4,8.3,2.1,0.38,673,be BEL,FW,fr Ligue 1,20-245,2005.0,5.5,2,0,0,2,9,4,17,1,2,1,0,0,12,2,1,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Lille,CF,LW,RW,188,Belgium,38.18181818181819,34.54545454545455,82.37762237762237,68.99961315280464,42.333551340745586,47.457396046353104,54.653180123241114
1712,Jesus Rodríguez,es ESP,FW,Como,it Serie A,19.0,2005.0,5,4,389.0,4.3,0,1,1,0,0,0,0,1,0.8,0.8,0.8,1.6,29,15,30,0.23,0.38,1712,es ESP,FW,it Serie A,19-319,2005.0,4.3,0,10,2,20.0,2.31,0.46,0.0,0.0,17.3,0,0,0,0.8,0.8,0.08,-0.8,-0.8,1712,es ESP,FW,it Serie A,19-319,2005.0,4.3,90,118,76.3,1262,427,1,0.8,0.7,0.2,9,7,4,0,15,1712,es ESP,FW,it Serie A,19-319,2005.0,4.3,118,115,3,0,2,1,4,1,2,0,1,0,90,0,8,1712,es ESP,FW,it Serie A,19-319,2005.0,4.3,18,4.16,13,1,2,1,1,0,2,0.46,1712,es ESP,FW,it Serie A,19-319,2005.0,4.3,3,1,1,1,1,3,33.3,2,1,0,1,1,4,3,0,1712,es ESP,FW,it Serie A,19-319,2005.0,4.3,183,2,14,74,99,23,183,26,9,34.6,16,61.5,118,1053,591,29,17,16,14,13,137,30,2116,es ESP,FW,it Serie A,19-319,2005.0,5,389.0,78,72.0,4.3,4,86.0,1,1,45.0,0,1.6,6,2,4,0.93,2.12,5.8,3.3,2.5,0.57,1712,es ESP,FW,it Serie A,19-319,2005.0,4.3,0,1,0,3,7,0,4,1,1,0,0,0,19,3,1,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Real Betis,LW,RW,-,176,Spain,0.0,44.18604651162791,44.364937388193205,100.0,42.806313089063636,50.97414435408444,49.56796307085504
1360,Yankuba Minteh,gm GAM,FW,Brighton,eng Premier League,21.0,2004.0,7,7,591.0,6.6,1,2,3,1,0,0,0,0,1.6,1.6,2.0,3.6,37,7,59,0.46,0.55,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,1,11,3,27.3,1.68,0.46,0.09,0.33,13.7,0,0,0,1.6,1.6,0.15,-0.6,-0.6,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,96,170,56.5,1492,497,2,2.0,1.2,0.0,12,6,6,5,7,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,170,156,11,0,0,2,25,5,6,3,0,0,96,3,7,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,24,3.65,14,1,5,2,1,1,3,0.46,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,12,10,4,5,3,13,46.2,7,8,0,8,6,18,4,0,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,258,4,33,86,149,41,258,33,19,57.6,12,36.4,168,1463,878,37,13,22,17,8,167,59,1653,gm GAM,FW,eng Premier League,21-076,2004.0,7,591.0,84,93.8,6.6,7,84.0,4,0,,0,1.29,10,8,2,0.3,4.92,10.4,8.7,1.7,0.26,1360,gm GAM,FW,eng Premier League,21-076,2004.0,6.6,0,0,0,6,8,3,25,6,10,0,0,0,29,7,6,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Brighton & Hove Albion,RW,LW,RM,180,The Gambia,15.909090909090912,57.57575757575758,72.26107226107226,82.50676982591875,8.875808444153769,40.58375162669642,49.395229700753006
681,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,20.0,2005.0,7,7,578.0,6.4,2,1,3,2,0,0,1,0,2.5,2.5,1.9,4.4,33,13,81,0.47,0.69,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,2,14,8,57.1,2.18,1.25,0.14,0.25,15.4,0,0,0,2.5,2.5,0.18,-0.5,-0.5,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,146,189,77.2,2023,486,1,1.9,1.8,-0.9,8,5,8,3,13,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,189,184,5,1,2,1,19,4,0,0,0,0,146,0,13,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,22,3.43,14,0,3,4,1,0,1,0.16,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,6,3,2,4,0,5,60.0,2,2,0,2,3,9,3,0,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,264,3,33,90,144,34,264,22,6,27.3,12,54.5,183,1329,823,33,20,17,15,3,207,81,832,be BEL,FW,fr Ligue 1,20-189,2005.0,7,578.0,83,91.7,6.4,7,83.0,1,0,,0,2.14,8,3,5,0.78,2.51,10.4,6.0,4.4,0.68,681,be BEL,FW,fr Ligue 1,20-189,2005.0,6.4,1,0,0,11,17,3,19,3,3,0,0,0,15,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Olympique Lyon,LW,RW,-,169,Belgium,32.8125,29.6875,70.79326923076921,75.59308510638297,22.44154676258993,36.82472733469667,47.542211982023424
1382,Diego Moreira,be BEL,"DF,FW",Strasbourg,fr Ligue 1,21.0,2004.0,6,5,442.0,4.9,0,1,1,0,0,0,1,0,0.2,0.2,1.7,1.9,16,25,37,0.2,0.38,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,0,4,1,25.0,0.81,0.2,0.0,0.0,20.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,161,212,75.9,2536,823,1,1.7,0.9,-0.7,12,9,12,4,25,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,212,197,15,2,0,0,21,13,0,0,0,0,161,0,6,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,15,3.05,13,0,2,0,0,0,2,0.41,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,12,7,5,2,5,14,64.3,5,6,1,5,1,13,11,0,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,274,16,59,114,104,10,274,19,6,31.6,13,68.4,153,863,455,16,9,4,8,5,193,37,1686,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,6,442.0,74,70.2,4.9,5,83.0,2,1,27.0,0,2.0,9,5,4,0.81,-0.62,9.6,5.4,4.2,0.86,1382,be BEL,"DF,FW",fr Ligue 1,21-061,2004.0,4.9,1,0,0,2,4,1,21,1,7,0,0,0,17,4,5,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,RC Strasbourg,LW,RW,-,179,Portugal,0.0,38.775510204081634,82.73155416012557,46.5288753799392,65.35897812362356,29.712171167035322,45.92908483222403
2001,Bazoumana Touré,ci CIV,"FW,MF",Hoffenheim,de Bundesliga,19.0,2006.0,6,6,527.0,5.9,0,1,1,0,0,0,1,0,1.2,1.2,0.6,1.9,35,18,58,0.17,0.32,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,0,12,4,33.3,2.05,0.68,0.0,0.0,15.2,0,0,0,1.2,1.2,0.1,-1.2,-1.2,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,116,172,67.4,1835,446,1,0.6,0.5,0.4,9,6,12,5,18,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,172,167,5,0,1,0,28,4,1,0,0,0,116,0,9,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,21,3.59,13,1,3,0,4,0,3,0.51,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,8,4,3,4,1,8,50.0,4,7,0,7,1,9,7,0,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,264,3,33,85,158,26,264,31,14,45.2,14,45.2,163,1457,693,35,18,10,23,8,178,58,2467,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,6,527.0,88,97.6,5.9,6,88.0,5,0,,0,1.17,8,12,-4,-0.68,-7.61,8.2,9.7,-1.5,-0.25,2001,ci CIV,"FW,MF",de Bundesliga,19-218,2006.0,5.9,1,0,0,15,9,2,28,1,4,1,0,0,28,10,11,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Newcastle United,LW,LM,RW,178,Ivory Coast,0.0,32.20338983050848,24.250325945241197,87.5196538045438,36.69146039100923,39.12747102931153,38.55734413758139
1304,Samuel Mbangula,be BEL,FW,Werder Bremen,de Bundesliga,21.0,2004.0,5,5,366.0,4.1,2,1,3,2,0,0,0,0,0.3,0.3,0.4,0.7,9,13,12,0.74,0.17,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,2,4,2,50.0,0.98,0.49,0.5,1.0,18.1,0,0,0,0.3,0.3,0.08,1.7,1.7,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,116,145,80.0,1553,344,1,0.4,0.4,0.6,3,7,2,1,13,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,145,139,5,2,1,2,2,3,0,0,0,0,116,1,7,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,14,3.43,12,0,0,0,2,0,3,0.74,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,9,5,4,2,3,10,60.0,4,4,1,3,4,13,1,0,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,194,5,45,94,60,10,194,15,5,33.3,9,60.0,118,752,268,9,8,4,9,8,131,12,1586,be BEL,FW,de Bundesliga,21-263,2004.0,5,366.0,73,67.8,4.1,5,73.0,0,0,,0,1.4,6,9,-3,-0.74,0.3,4.8,8.5,-3.7,-0.91,1304,be BEL,FW,de Bundesliga,21-263,2004.0,4.1,0,0,0,2,8,1,2,4,5,2,0,0,20,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Juventus,LW,RW,-,172,Belgium,51.219512195121965,46.341463414634156,23.26454033771107,30.07991696938246,38.36696496461368,36.39250502934478,36.51695830197589
